Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Abarth,124 Spider,124 GT,6.9 sec ,14.075
Abarth,124 Spider,124 GT,6.8 sec ,13.927
Abarth,500,500e,9 sec ,not known
Abarth,Punto,Punto Evo (199),7.5 sec ,14.221
Abarth,Punto,Punto Evo (199),7.9 sec ,14.707
Abarth,595,595C (facelift 2016),7.4 sec ,14.221
Abarth,595,595C (facelift 2016),7.3 sec ,14.148
Abarth,595,595C (facelift 2016),7.3 sec ,14.292
Abarth,595,595C (facelift 2016),7.4 sec ,14.363
Abarth,595,595C (facelift 2016),6.9 sec ,13.852
Abarth,595,595C (facelift 2016),6.7 sec ,13.852
Abarth,595,595C (facelift 2016),8 sec ,14.84
Abarth,595,595C (facelift 2016),7.8 sec ,14.773
Abarth,500,500e Cabriolet,9 sec ,not known
Abarth,595,595 (facelift 2016),7.4 sec ,14.363
Abarth,595,595 (facelift 2016),7.4 sec ,14.002
Abarth,595,595 (facelift 2016),7.3 sec ,14.292
Abarth,595,595 (facelift 2016),7.3 sec ,14.002
Abarth,595,595 (facelift 2016),7.4 sec ,not known
Abarth,595,595 (facelift 2016),7.3 sec ,not known
Abarth,595,595 (facelift 2016),7.4 sec ,14.148
Abarth,595,595 (facelift 2016),7.3 sec ,14.502
Abarth,595,595 (facelift 2016),7.3 sec ,14.148
Abarth,595,595 (facelift 2016),6.9 sec ,not known
Abarth,595,595 (facelift 2016),6.7 sec ,not known
Abarth,595,595 (facelift 2016),6.9 sec ,13.699
Abarth,595,595 (facelift 2016),6.9 sec ,13.699
Abarth,595,595 (facelift 2016),6.7 sec ,13.621
Abarth,595,595 (facelift 2016),6.7 sec ,13.621
Abarth,595,595 (facelift 2016),8 sec ,14.639
Abarth,595,595 (facelift 2016),7.8 sec ,14.571
Abarth,595,595 (facelift 2016),7.8 sec ,14.571
Abarth,595,595C,7.6 sec ,14.363
Abarth,595,595C,7.6 sec ,14.363
Abarth,595,595C,7.4 sec ,14.292
Abarth,595,595C,7.4 sec ,14.292
Abarth,695,695,7.3 sec ,14.292
Abarth,695,695,6.9 sec ,not known
Abarth,695,695,6.7 sec ,13.699
Abarth,695,695,5.9 sec ,13.134
Abarth,695,695,6.7 sec ,not known
Abarth,Punto,Punto (199),7.5 sec ,14.221
Abarth,Punto,Punto (199),8.2 sec ,14.707
Abarth,500,500,8.1 sec ,14.84
Abarth,500,500,8.1 sec ,14.84
Abarth,500,500,7.9 sec ,14.97
Abarth,500,500,7.9 sec ,14.97
Abarth,595,595,7.6 sec ,14.148
Abarth,595,595,7.6 sec ,14.148
Abarth,595,595,7.4 sec ,14.148
Abarth,595,595,7.4 sec ,14.148
Abarth,500,500C,8.1 sec ,15.035
Abarth,500,500C,7.9 sec ,15.162
Abarth,Punto,Grande Punto (199),7.5 sec ,14.221
Abarth,Punto,Grande Punto (199),8.2 sec ,14.905
Abarth,124 Spider,124 Spider,6.9 sec ,13.927
Abarth,124 Spider,124 Spider,6.8 sec ,13.927
