Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Alfa Romeo,8C Competizione,8C Competizione,4 sec ,not known,
Alfa Romeo,145,"145 (930, facelift 1999)",8.3 sec ,15.162,
Alfa Romeo,145,"145 (930, facelift 1999)",10.4 sec ,17.062,
Alfa Romeo,145,"145 (930, facelift 1999)",9.1 sec ,15.35,
Alfa Romeo,145,"145 (930, facelift 1999)",10.2 sec ,16.168,
Alfa Romeo,145,"145 (930, facelift 1999)",11.2 sec ,16.86,
Alfa Romeo,164,164 (164),8.8 sec ,14.97,
Alfa Romeo,164,164 (164),8.1 sec ,14.97,
Alfa Romeo,164,164 (164),8.5 sec ,15.162,
Alfa Romeo,164,164 (164),7.9 sec ,15.162,
Alfa Romeo,164,164 (164),8.5 sec ,15.411,
Alfa Romeo,164,164 (164),7.9 sec ,15.411,
Alfa Romeo,164,164 (164),7.7 sec ,14.639,
Alfa Romeo,164,164 (164),7.7 sec ,14.221,
Alfa Romeo,164,164 (164),7.7 sec ,14.639,
Alfa Romeo,164,164 (164),7.5 sec ,14.773,
Alfa Romeo,164,164 (164),9 sec ,14.707,
Alfa Romeo,164,164 (164),8 sec ,14.707,
Alfa Romeo,164,164 (164),not known,,
Alfa Romeo,164,164 (164),10.8 sec ,17.308,
Alfa Romeo,164,164 (164),10.8 sec ,17.012,
Alfa Romeo,164,164 (164),8.1 sec ,14.707,
Alfa Romeo,164,164 (164),8.2 sec ,14.84,
Alfa Romeo,164,164 (164),9.2 sec ,15.225,
Alfa Romeo,164,164 (164),9.9 sec ,16.056,
Alfa Romeo,164,164 (164),9.9 sec ,16.168,
Alfa Romeo,164,164 (164),9.8 sec ,15.411,
Alfa Romeo,164,164 (164),7.2 sec ,14.571,
Alfa Romeo,4C,4C,4.5 sec ,11.726,
Alfa Romeo,75,"75 (162 B, facelift 1988)",7.5 sec ,14.363,
Alfa Romeo,75,"75 (162 B, facelift 1988)",7.6 sec ,14.84,
Alfa Romeo,75,"75 (162 B, facelift 1988)",10.3 sec ,14.905,
Alfa Romeo,75,"75 (162 B, facelift 1988)",7.3 sec ,14.433,
Alfa Romeo,75,"75 (162 B, facelift 1988)",7.4 sec ,14.502,
Alfa Romeo,75,"75 (162 B, facelift 1988)",7.6 sec ,15.162,
Alfa Romeo,75,"75 (162 B, facelift 1988)",11.7 sec ,17.012,
Alfa Romeo,75,"75 (162 B, facelift 1988)",8.2 sec ,15.035,
Alfa Romeo,75,"75 (162 B, facelift 1988)",9.2 sec ,14.97,
Alfa Romeo,75,"75 (162 B, facelift 1988)",12.4 sec ,17.734,
Alfa Romeo,75,"75 (162 B, facelift 1988)",10.4 sec ,15.769,
Alfa Romeo,75,"75 (162 B, facelift 1988)",11.1 sec ,15.943,
Alfa Romeo,75,"75 (162 B, facelift 1988)",9.5 sec ,15.828,
Alfa Romeo,75,"75 (162 B, facelift 1988)",11.3 sec ,16.441,
Alfa Romeo,75,"75 (162 B, facelift 1988)",10.7 sec ,16.279,
Alfa Romeo,Brera,Brera,6.8 sec ,13.927,
Alfa Romeo,Brera,Brera,7 sec ,13.699,
Alfa Romeo,Brera,Brera,7.0 sec ,14.221,
Alfa Romeo,Brera,Brera,7.9 sec ,14.84,
Alfa Romeo,Brera,Brera,8.3 sec ,14.773,
Alfa Romeo,Brera,Brera,7.9 sec ,14.773,
Alfa Romeo,Brera,Brera,8.6 sec ,15.099,
Alfa Romeo,Brera,Brera,8.6 sec ,15.099,
Alfa Romeo,Brera,Brera,8.8 sec ,15.592,
Alfa Romeo,Brera,Brera,7.7 sec ,14.639,
Alfa Romeo,Giulietta,Giulietta (Type 940),8 sec ,15.225,
Alfa Romeo,Giulietta,Giulietta (Type 940),8.8 sec ,15.885,
Alfa Romeo,Giulietta,Giulietta (Type 940),9 sec ,16,
Alfa Romeo,Giulietta,Giulietta (Type 940),6.8 sec ,13.621,
Alfa Romeo,Giulietta,Giulietta (Type 940),11.3 sec ,17.962,
Alfa Romeo,Giulietta,Giulietta (Type 940),7.8 sec ,15.162,
