Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Bentley,Continental,Continental GT II,4.5 sec ,12.423
Bentley,Continental,Continental GT II,4.8 sec ,12.608
Bentley,Continental,Continental GT II,4.2 sec ,11.726
Bentley,Continental,Continental GT II,3.8 sec ,11.83
Bentley,Continental,Continental GT II,9.86
Bentley,Continental,Continental GT II,4.5 sec ,12.134
Bugatti,EB 112,EB 112,4.4 sec ,11.933
Bentley,Arnage,Arnage I,6 sec ,13.927
Bentley,Arnage,Arnage I,6 sec ,14.148
Bugatti,Type 57,Type 57,not known
Bentley,Continental,Continental,11.8 sec ,16.387
Bentley,Bentayga,Bentayga,3.9 sec ,11.933
Bentley,Bentayga,Bentayga,4.1 sec ,12.034
Bentley,Bentayga,Bentayga,4.5 sec ,12.423
Bentley,Bentayga,Bentayga,4.5 sec ,12.328
Bentley,Bentayga,Bentayga,4.8 sec ,13.621
Bentley,Bentayga,Bentayga,4.8 sec ,13.621
Bentley,Bentayga,Bentayga,5.5 sec ,13.621
Bentley,Continental,Continental GT convertible,5.1 sec ,12.516
Bugatti,Bolide,Bolide,2.17 sec ,6.731
Bugatti,Chiron,Chiron,2.4 sec ,8.056
Bugatti,Chiron,Chiron,2.4 sec ,8.274
Bugatti,Chiron,Chiron,2.3 sec ,8.274
Bugatti,Chiron,Chiron,<2.5 sec ,8.274
Bentley,Mulsanne,Mulsanne II (Facelift 2016),4.9 sec ,12.964
Bentley,Mulsanne,Mulsanne II (Facelift 2016),5.3 sec ,13.134
Bentley,Continental,Continental GT II convertible (facelift 2015),4.7 sec ,12.699
Bentley,Continental,Continental GT II convertible (facelift 2015),5 sec ,12.877
Bentley,Continental,Continental GT II convertible (facelift 2015),8 sec ,11.51
Bentley,Continental,Continental GT II convertible (facelift 2015),4.4 sec ,11.933
Bentley,Continental,Continental GT II convertible (facelift 2015),4.7 sec ,12.232
Bugatti,EB 110,EB 110,3.4 sec ,10.007
Bugatti,EB 110,EB 110,3.6 sec ,10.811
Bugatti,Veyron,Veyron Coupe,2.5 sec ,8.678
Bugatti,Veyron,Veyron Coupe,2.5 sec ,9.39
Bentley,Bentayga,Bentayga EWB,4.6 sec ,12.608
Bentley,Brooklands,Brooklands II,5.3 sec ,12.788
Bentley,Flying Spur,Flying Spur II (facelift 2015),4.5 sec ,11.933
Bentley,Flying Spur,Flying Spur II (facelift 2015),4.9 sec ,12.608
Bentley,Flying Spur,Flying Spur II (facelift 2015),4.6 sec ,12.034
Bentley,Flying Spur,Flying Spur II (facelift 2015),5.2 sec ,12.788
Bentley,Continental,Continental GT II (facelift 2015),4.5 sec ,12.328
Bentley,Continental,Continental GT II (facelift 2015),4.8 sec ,12.516
Bentley,Continental,Continental GT II (facelift 2015),7.2 sec ,11.172
Bentley,Continental,Continental GT II (facelift 2015),4.2 sec ,11.726
Bentley,Continental,Continental GT II (facelift 2015),3.7 sec ,11.83
Bentley,Continental,Continental GT II (facelift 2015),not known
Bentley,Continental,Continental GT II (facelift 2015),4.5 sec ,11.933
Bentley,Flying Spur,Flying Spur II,4.6 sec ,12.034
Bentley,Flying Spur,Flying Spur II,5.2 sec ,12.877
Bentley,Continental,Continental Flying Spur,4.8 sec ,12.134
Bentley,Continental,Continental Flying Spur,5.2 sec ,12.423
Bentley,Continental,Continental GT III Convertible,3.7 sec ,11.726
Bentley,Continental,Continental GT III Convertible,3.8 sec ,11.83
Bentley,Continental,Continental GT III Convertible,4.1 sec ,12.232
Bentley,Continental,Continental GT II convertible,4.7 sec ,12.699
Bentley,Continental,Continental GT II convertible,5 sec ,12.877
Bentley,Continental,Continental GT II convertible,4.4 sec ,12.134
Bentley,Continental,Continental GT II convertible,4.7 sec ,12.423
Bentley,Mulsanne,Mulsanne II,5.3 sec ,12.964
Bugatti,Divo,Divo,2.4 sec ,8.274
Bentley,Arnage,Arnage T,5.5 sec ,13.049
Bentley,Arnage,Arnage T,5.8 sec ,13.542
Bentley,Azure,Azure,6.7 sec ,14.075
Bentley,Azure,Azure,6.2 sec ,13.852
Bentley,Azure,Azure,6.7 sec ,14.292
Bentley,Continental,Continental GT III,3.6 sec ,11.4
Bentley,Continental,Continental GT III,3.7 sec ,11.51
Bentley,Continental,Continental GT III,4 sec ,11.933
Bentley,Azure,Azure II,6 sec ,13.699
Bugatti,Veyron,Veyron Targa,2.6 sec ,9.048
Bugatti,Veyron,Veyron Targa,<2.7 sec ,9.552
Bentley,Mulsanne,Mulsanne EWB,5.5 sec ,13.218
Bentley,Mulsanne,Mulsanne I,7 sec ,15.162
Bentley,Mulsanne,Mulsanne I,10 sec ,16.758
Bentley,Continental,Continental T,5.9 sec ,13.621
Bentley,Continental,Continental R,14.002
Bentley,Continental,Continental R,6.3 sec ,13.776
Bentley,Continental,Continental R,6 sec ,13.621
Bentley,Continental,Continental R,6.4 sec ,14.075
Bentley,Brooklands,Brooklands,9.5 sec ,15.162
Bentley,Brooklands,Brooklands,9.5 sec ,16.224
Bentley,Continental,Continental GT,4.5 sec ,11.933
Bentley,Continental,Continental GT,4.8 sec ,12.328
Bentley,Arnage,Arnage R,7 sec ,14.221
Bentley,Arnage,Arnage R,6.3 sec ,14.075
Bentley,Turbo R,Turbo R,not known
Bentley,Flying Spur,Flying Spur III,4.3 sec ,12.516
Bentley,Flying Spur,Flying Spur III,3.8 sec ,11.83
Bentley,Flying Spur,Flying Spur III,4.1 sec ,12.232
Bentley,Bentayga,Bentayga (facelift 2020),3.9 sec ,not known
Bentley,Bentayga,Bentayga (facelift 2020),3.9 sec ,11.933
Bentley,Bentayga,Bentayga (facelift 2020),4.5 sec ,not known
Bentley,Bentayga,Bentayga (facelift 2020),4.5 sec ,12.423
Bentley,Bentayga,Bentayga (facelift 2020),4.5 sec ,not known
Bentley,Bentayga,Bentayga (facelift 2020),5.5 sec ,13.699
Bugatti,Centodieci,Centodieci,2.4 sec ,8.056
