Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Cadillac,CTS,CTS II Coupe,11.4,,
Cadillac,CTS,CTS II Coupe,11.4,,
Cadillac,CTS,CTS II Coupe,6.7 sec ,13.621,
Cadillac,CTS,CTS II Coupe,6.3 sec ,13.382,
Cadillac,CTS,CTS II Coupe,not known,,
Cadillac,CT6,CT6 I,11.726,,
Cadillac,CT6,CT6 I,13.134,,
Cadillac,CT6,CT6 I,12.516,,
Cadillac,CT6,CT6 I,5.4 sec ,13.776,
Cadillac,CT6,CT6 I,13.927,,
Cadillac,Escalade,Escalade I,10 sec ,16.387,
Cadillac,DeVille,DeVille (EL12),7.3 sec ,13.927,
Cadillac,DeVille,DeVille (EL12),7.6 sec ,14.221,
Cadillac,XT6,XT6,14.363,,
Cadillac,XT6,XT6,14.148,,
Cadillac,XT6,XT6,15.592,,
Cadillac,XT6,XT6,15.35,,
Cadillac,Eldorado,Eldorado XI (facelift 1988),16.279,,
Cadillac,CT4,CT4,not known,,
Cadillac,CT4,CT4,12.964,,
Cadillac,CT4,CT4,not known,,
Cadillac,CT4,CT4,not known,,
Cadillac,CT4,CT4,not known,,
Cadillac,CT4,CT4,14.148,,
Cadillac,ATS,ATS Coupe,4.2 sec ,11.726,
Cadillac,ATS,ATS Coupe,4.2 sec ,11.726,
Cadillac,ATS,ATS Coupe,not known,,
Cadillac,ATS,ATS Coupe,13.134,,
Cadillac,ATS,ATS Coupe,12.788,,
Cadillac,ATS,ATS Coupe,6.2 sec ,not known,
Cadillac,ATS,ATS Coupe,6.2 sec ,13.463,
Cadillac,ATS,ATS Coupe,13.463,,
Cadillac,Escalade,Escalade IV,6.9 sec ,14.363,
Cadillac,Escalade,Escalade IV,6.9 sec ,14.148,
Cadillac,Escalade,Escalade IV,14.002,,
Cadillac,Escalade,Escalade IV,14.002,,
Cadillac,Escalade,Escalade IV,14.221,,
Cadillac,Escalade,Escalade IV,6.7 sec ,14.221,
Cadillac,Escalade,Escalade IV,14.002,,
Cadillac,Escalade,Escalade IV,14.002,,
Cadillac,Escalade,Escalade IV,13.776,,
Cadillac,Escalade,Escalade IV,14.002,,
Cadillac,ELR,ELR,21.048,,
Cadillac,Sixteen,Sixteen,10.007,,
Cadillac,Eldorado,Eldorado XI,17.211,,
Cadillac,XT4,XT4 I,8.3 sec ,15.162,
Cadillac,XT4,XT4 I,10.6 sec ,16.653,
Cadillac,XT4,XT4 I,10.4 sec ,16.333,
Cadillac,XT4,XT4 I,14.502,,
Cadillac,XT4,XT4 I,not known,,
Cadillac,XT4,XT4 I,14.639,,
Cadillac,XT4,XT4 I,14.433,,
Cadillac,Catera,Catera,not known,,
Cadillac,Catera,Catera,8.5 sec ,15.411,
Cadillac,Escalade,Escalade II,14.363,,
Cadillac,Escalade,Escalade II,8.5 sec ,15.035,
Cadillac,Escalade,Escalade II,8.6 sec ,14.905,
Cadillac,Escalade,Escalade II,8 sec ,15.411,
Cadillac,Escalade,Escalade II,9.5 sec ,15.592,
Cadillac,DTS,DTS,6.9 sec ,14.075,
Cadillac,DTS,DTS,7.1 sec ,14.148,
Cadillac,DTS,DTS,14.221,,
Cadillac,DTS,DTS,13.927,,
Cadillac,SRX,SRX,13.852,,
Cadillac,SRX,SRX,14.002,,
Cadillac,SRX,SRX,14.773,,
Cadillac,SRX,SRX,14.97,,
Cadillac,XTS,XTS,12.516,,
Cadillac,XTS,XTS,14.002,,
Cadillac,XTS,XTS,13.927,,
Cadillac,XT5,XT5,13.852,,
Cadillac,XT5,XT5,14.773,,
Cadillac,XT5,XT5,14.433,,
Cadillac,Brougham,Brougham,10.5 sec ,16.495,
Cadillac,Brougham,Brougham,12 sec ,16.962,
Cadillac,CT6,CT6 II,7.5 sec ,14.773,
Cadillac,ATS,ATS Sedan,4.2 sec ,11.726,
Cadillac,ATS,ATS Sedan,4.2 sec ,11.726,
Cadillac,ATS,ATS Sedan,12.788,,
Cadillac,ATS,ATS Sedan,12.608,,
Cadillac,ATS,ATS Sedan,13.049,,
Cadillac,ATS,ATS Sedan,12.788,,
Cadillac,ATS,ATS Sedan,14.707,,
Cadillac,ATS,ATS Sedan,6 sec ,13.301,
Cadillac,ATS,ATS Sedan,6.1 sec ,13.463,
Cadillac,ATS,ATS Sedan,5.9 sec ,13.218,
Cadillac,Escalade,Escalade V ESV,12.328,,
Cadillac,Escalade,Escalade V ESV,not known,,
Cadillac,Escalade,Escalade V ESV,not known,,
Cadillac,LSE,LSE,15.099,,
Cadillac,XT4,XT4 I (facelift 2024),14.571,,
Cadillac,SRX,SRX II,not known,,
Cadillac,SRX,SRX II,not known,,
Cadillac,SRX,SRX II,14.84,,
Cadillac,SRX,SRX II,14.639,,
Cadillac,SRX,SRX II,14.363,,
Cadillac,Seville,Seville V,6.8 sec ,13.927,
Cadillac,Seville,Seville V,7.8 sec ,14.221,
Cadillac,BLS,BLS,7.5 sec ,13.927,
Cadillac,BLS,BLS,6.9 sec ,13.852,
Cadillac,BLS,BLS,8.8 sec ,not known,
Cadillac,BLS,BLS,7.9 sec ,not known,
Cadillac,BLS,BLS,9.7 sec ,not known,
Cadillac,BLS,BLS,8.7 sec ,not known,
Cadillac,BLS,BLS,11 sec ,not known,
Cadillac,BLS,BLS,9.8 sec ,not known,
Cadillac,XTS,XTS (facelift 2018),12.788,,
Cadillac,XTS,XTS (facelift 2018),13.927,,
Cadillac,XTS,XTS (facelift 2018),13.699,,
Cadillac,CTS,CTS III,3.7 sec ,10.811,
Cadillac,CTS,CTS III,11.83,,
Cadillac,CTS,CTS III,6.7 sec ,13.134,
Cadillac,CTS,CTS III,12.964,,
Cadillac,CTS,CTS III,12.964,,
Cadillac,CTS,CTS III,12.964,,
Cadillac,CTS,CTS III,6.8 sec ,13.699,
Cadillac,CTS,CTS III,6.8 sec ,13.699,
Cadillac,CTS,CTS III,6.8 sec ,14.002,
Cadillac,CTS,CTS III,6.8 sec ,13.852,
Cadillac,Escalade,Escalade II EXT,8.4 sec ,14.97,
Cadillac,Eldorado,Eldorado X,17.688,,
Cadillac,Eldorado,Eldorado X,16.441,,
Cadillac,Eldorado,Eldorado X,16.387,,
Cadillac,Eldorado,Eldorado X,17.547,,
Cadillac,Eldorado,Eldorado X,17.962,,
Cadillac,STS,STS,12.134,,
Cadillac,STS,STS,6.7 sec ,13.699,
Cadillac,STS,STS,6.2 sec ,13.382,
Cadillac,STS,STS,14.707,,
Cadillac,STS,STS,7.4 sec ,14.433,
Cadillac,Seville,Seville IV,7.6 sec ,13.776,
Cadillac,Seville,Seville IV,9 sec ,15.472,
Cadillac,Seville,Seville IV,14.075,,
Cadillac,Seville,Seville IV,7.8 sec ,13.776,
Cadillac,XLR,XLR,4.9 sec ,11.933,
Cadillac,XLR,XLR,5.9 sec ,13.134,
Cadillac,CTS,CTS II,4 sec ,11.4,
Cadillac,CTS,CTS II,3.9 sec ,11.4,
Cadillac,CTS,CTS II,6.7 sec ,13.852,
Cadillac,CTS,CTS II,6.3 sec ,13.542,
Cadillac,CTS,CTS II,6.3 sec ,13.542,
Cadillac,CTS,CTS II,14.221,,
Cadillac,CTS,CTS II,14.221,,
Cadillac,CTS,CTS II,14.148,,
