Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Chevrolet,Silverado 1500,Silverado 1500 III Crew Cab,13.463,,
Chevrolet,Silverado 1500,Silverado 1500 III Crew Cab,13.621,,
Chevrolet,Silverado 1500,Silverado 1500 III Crew Cab,14.075,,
Chevrolet,Silverado 1500,Silverado 1500 III Crew Cab,14.292,,
Chevrolet,Silverado 1500,Silverado 1500 III Crew Cab,15.162,,
Chevrolet,Silverado 1500,Silverado 1500 III Crew Cab,15.288,,
Chevrolet,Onix,Onix I,12.7 sec ,17.012,
Chevrolet,Onix,Onix I,12.7 sec ,16.706,
Chevrolet,Onix,Onix I,18.007,,
Chevrolet,Spin,Spin (facelift 2018),19.531,,
Chevrolet,Spin,Spin (facelift 2018),19.417,,
Chevrolet,Impala,Impala IX,13.463,,
Chevrolet,Impala,Impala IX,13.463,,
Chevrolet,Impala,Impala IX,14.433,,
Chevrolet,Impala,Impala IX,14.639,,
Chevrolet,Impala,Impala IX,13.301,,
Chevrolet,Impala,Impala IX,15.035,,
Chevrolet,Impala,Impala IX,14.905,,
Chevrolet,Rezzo,Rezzo,11.7 sec ,16.758,
Chevrolet,Rezzo,Rezzo,10.3 sec ,16.758,
Chevrolet,Rezzo,Rezzo,12.2 sec ,17.405,
Chevrolet,Tracker,Tracker II,15.411,,
Chevrolet,Tracker,Tracker II,15.411,,
Chevrolet,Tracker,Tracker II,15.162,,
Chevrolet,Tracker,Tracker II,15.162,,
Chevrolet,Tracker,Tracker II,16.601,,
Chevrolet,Tracker,Tracker II,16.601,,
Chevrolet,Tracker,Tracker II,12.5 sec ,17.062,
Chevrolet,Tracker,Tracker II,16.809,,
Chevrolet,Tracker,Tracker II,18.272,,
Chevrolet,Tracker,Tracker II,11.5 sec ,17.734,
Chevrolet,Tracker,Tracker II,11.5 sec ,17.734,
Chevrolet,Onix,Onix II Sedan,15.472,,
Chevrolet,Onix,Onix II Sedan,17.162,,
Chevrolet,Onix,Onix II Sedan,16.056,,
Chevrolet,Onix,Onix II Sedan,15.943,,
Chevrolet,Onix,Onix II Sedan,18.007,,
Chevrolet,Corsa,Corsa Hatch (GM 4200),16.333,,
Chevrolet,Corsa,Corsa Hatch (GM 4200),9.9 sec ,16.653,
Chevrolet,Corsa,Corsa Hatch (GM 4200),14.9 sec ,18.007,
Chevrolet,Corsa,Corsa Hatch (GM 4200),15.9 sec ,18.315,
Chevrolet,Sonic,Sonic I Sedan (facelift 2016),15.943,,
Chevrolet,Sonic,Sonic I Sedan (facelift 2016),15.828,,
Chevrolet,Sonic,Sonic I Sedan (facelift 2016),16.112,,
Chevrolet,Sonic,Sonic I Sedan (facelift 2016),15.885,,
