Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Chrysler,200,200 II,13.699
Chrysler,200,200 II,13.463
Chrysler,200,200 II,15.532
Chrysler,LE Baron,LE Baron Cabrio,11.1 sec ,16.387
Chrysler,LE Baron,LE Baron Cabrio,11.1 sec ,16.387
Chrysler,LE Baron,LE Baron Cabrio,11.2 sec ,17.112
Chrysler,LE Baron,LE Baron Cabrio,11.2 sec ,17.112
Chrysler,LE Baron,LE Baron Cabrio,18.14
Chrysler,Sebring,Sebring Coupe (ST-22),8.4 sec ,14.571
Chrysler,Sebring,Sebring Coupe (ST-22),8.4 sec ,14.571
Chrysler,Sebring,Sebring Coupe (ST-22),10 sec ,16.168
Chrysler,Sebring,Sebring Coupe (ST-22),10 sec ,16.168
Chrysler,Town & Country,Town & Country III,not known
Chrysler,Town & Country,Town & Country III,15.943
Chrysler,Town & Country,Town & Country III,not known
Chrysler,Town & Country,Town & Country III,16.387
Chrysler,Town & Country,Town & Country III,17.012
Chrysler,300,300,14.433
Chrysler,300,300,5 sec ,12.423
Chrysler,300,300,13.542
Chrysler,300,300,6.3 sec ,13.301
Chrysler,300,300,14.707
Chrysler,300,300,9.2 sec ,14.363
Chrysler,300,300,7.6 sec ,15.411
Chrysler,300,300,11.1 sec ,16.0
Chrysler,Saratoga,Saratoga,11.5 sec ,16.112
Chrysler,Saratoga,Saratoga,14.7 sec ,18.052
Chrysler,Saratoga,Saratoga,13.5 sec ,17.917
Chrysler,Stratus,Stratus Cabrio (JX),10.5 sec ,16.441
Chrysler,Stratus,Stratus Cabrio (JX),10.9 sec ,17.405
Chrysler,Crossfire,Crossfire Roadster,5.3 sec ,12.516
Chrysler,Crossfire,Crossfire Roadster,6.5 sec ,14.221
Chrysler,Crossfire,Crossfire Roadster,6.5 sec ,14.221
Chrysler,Sebring,Sebring Convertible (JX),15.943
Chrysler,Sebring,Sebring Convertible (JX),11.2 sec ,16.387
Chrysler,Town & Country,Town & Country II,17.594
Chrysler,Town & Country,Town & Country II,17.26
Chrysler,LHS,LHS II,9.1 sec ,14.002
Chrysler,LHS,LHS II,14.773
Chrysler,Voyager,Voyager I,12.8 sec ,16.86
Chrysler,Voyager,Voyager I,12.7 sec ,16.962
Chrysler,Voyager,Voyager I,15.1 sec ,19.183
Chrysler,Intrepid,Intrepid,10.5 sec ,14.221
Chrysler,Intrepid,Intrepid,10.5 sec ,14.571
Chrysler,Intrepid,Intrepid,10.5 sec ,not known
Chrysler,Neon,Neon (PL),8.8 sec ,not known
Chrysler,Neon,Neon (PL),8.8 sec ,15.35
Chrysler,Neon,Neon (PL),8.8 sec ,15.35
Chrysler,Crossfire,Crossfire,5.3 sec ,12.423
Chrysler,Crossfire,Crossfire,6.9 sec ,14.075
Chrysler,Crossfire,Crossfire,6.8 sec ,14.075
Chrysler,Town & Country,Town & Country V,15.35
Chrysler,Town & Country,Town & Country V,16.441
Chrysler,Town & Country,Town & Country V,9.5 sec ,14.773
Chrysler,Town & Country,Town & Country V,10 sec ,16.911
Chrysler,Stratus,Stratus (JA),10.5 sec ,15.652
Chrysler,Stratus,Stratus (JA),10.9 sec ,16.495
Chrysler,Stratus,Stratus (JA),10.9 sec ,16.495
Chrysler,Neon,Neon II,12.8 sec ,15.532
Chrysler,Neon,Neon II,10.8 sec ,15.532
Chrysler,Neon,Neon II,9 sec ,16.224
Chrysler,Neon,Neon II,11 sec ,16.86
Chrysler,Voyager,Grand Voyager V,12.6 sec ,16.758
Chrysler,Voyager,Grand Voyager V,not known
Chrysler,Voyager,Grand Voyager V,12.8 sec ,17.78
Chrysler,Voyager,Grand Voyager V,not known
Chrysler,Voyager,Grand Voyager V,not known
Chrysler,Sebring,Sebring Coupe (FJ),10.5 sec ,15.592
Chrysler,Sebring,Sebring Coupe (FJ),11 sec ,15.769
Chrysler,Sebring,Sebring Coupe (FJ),11 sec ,15.769
Chrysler,Sebring,Sebring Coupe (FJ),11 sec ,16.056
Chrysler,Voyager,Grand Voyager II,13.9 sec ,17.012
Chrysler,Voyager,Grand Voyager II,12.9 sec ,16.758
Chrysler,Voyager,Grand Voyager II,12.5 sec ,18.655
Chrysler,Dynasty,Dynasty,not known
Chrysler,Dynasty,Dynasty,not known
Chrysler,Dynasty,Dynasty,not known
Chrysler,Concorde,Concorde,14.639
Chrysler,Concorde,Concorde,16.0
Chrysler,LHS,LHS I,not known
Chrysler,Viper,Viper RT/10,4.5 sec ,12.034
Chrysler,Daytona Shelby,Daytona Shelby,8.5 sec ,15.592
Chrysler,Daytona Shelby,Daytona Shelby,not known
Chrysler,New Yorker,New Yorker XIII Salon,16.333
Chrysler,300,300 II,12.232
Chrysler,300,300 II,13.218
Chrysler,300,300 II,5.4 sec ,13.218
Chrysler,300,300 II,7.4 sec ,14.002
Chrysler,300,300 II,7 sec ,14.002
Chrysler,300,300 II,7 sec ,14.075
Chrysler,200,200 I Convertible,14.002
Chrysler,200,200 I Convertible,16.279
Chrysler,Aspen,Aspen,13.776
Chrysler,Aspen,Aspen,13.927
Chrysler,Aspen,Aspen,14.221
Chrysler,Aspen,Aspen,14.221
Chrysler,Aspen,Aspen,14.433
Chrysler,Aspen,Aspen,14.707
Chrysler,Aspen,Aspen,14.905
Chrysler,Aspen,Aspen,16.0
Chrysler,Aspen,Aspen,16.168
Chrysler,Pacifica (minivan),Pacifica,14.292
Chrysler,Pacifica (minivan),Pacifica,15.532
Chrysler,Cirrus,Cirrus,10.5 sec ,15.411
Chrysler,Cirrus,Cirrus,15.943
Chrysler,Town & Country,Town & Country IV,10 sec ,16.168
Chrysler,Town & Country,Town & Country IV,9.6 sec ,15.885
Chrysler,Town & Country,Town & Country IV,not known
Chrysler,Town & Country,Town & Country IV,16.548
Chrysler,Sebring,Sebring Convertible (JR),11.4 sec ,15.035
Chrysler,Sebring,Sebring Convertible (JR),11.5 sec ,16.387
Chrysler,Sebring,Sebring Convertible (JR),12.3 sec ,16.653
Chrysler,Voyager,Voyager VI,14.292
Chrysler,Sebring,Sebring Sedan (JR),9.3 sec ,14.707
Chrysler,Sebring,Sebring Sedan (JR),11 sec ,16.112
Chrysler,Sebring,Sebring Sedan (JR),11 sec ,16.495
Chrysler,Sebring,Sebring Sedan (JR),11 sec ,16.495
Chrysler,Vision,Vision,10.5 sec ,14.97
Chrysler,300,300 II (facelift 2015),12.134
Chrysler,300,300 II (facelift 2015),14.002
Chrysler,300,300 II (facelift 2015),13.776
Chrysler,300,300 II (facelift 2015),13.218
Chrysler,300,300 II (facelift 2015),14.148
Chrysler,300,300 II (facelift 2015),13.927
Chrysler,300,300 II (facelift 2015),14.075
Chrysler,Prowler,Prowler,6.8 sec ,12.964
Chrysler,Fifth Avenue,Fifth Avenue I,not known
Chrysler,Voyager,Grand Voyager III,12.9 sec ,17.062
Chrysler,Voyager,Grand Voyager III,17.308
Chrysler,Voyager,Grand Voyager III,12.6 sec ,19.417
Chrysler,Voyager,Voyager V,not known
Chrysler,Voyager,Voyager V,11.9 sec ,18.007
Chrysler,Voyager,Voyager V,12.4 sec ,17.826
Chrysler,PT Cruiser,PT Cruiser,7.5 sec ,14.292
Chrysler,PT Cruiser,PT Cruiser,7 sec ,14.292
Chrysler,PT Cruiser,PT Cruiser,7.5 sec ,15.162
Chrysler,PT Cruiser,PT Cruiser,7.5 sec ,15.162
Chrysler,PT Cruiser,PT Cruiser,12.2 sec ,16.056
Chrysler,PT Cruiser,PT Cruiser,10.3 sec ,16.056
Chrysler,PT Cruiser,PT Cruiser,12.1 sec ,17.688
Chrysler,PT Cruiser,PT Cruiser,10.3 sec ,16.387
Chrysler,PT Cruiser,PT Cruiser,12.8 sec ,16.0
Chrysler,PT Cruiser,PT Cruiser,11.1 sec ,16.0
Chrysler,PT Cruiser,PT Cruiser,12.8 sec ,16.333
Chrysler,PT Cruiser,PT Cruiser,11.1 sec ,16.333
Chrysler,PT Cruiser,PT Cruiser,13.5 sec ,17.308
Chrysler,Voyager,Voyager III,12.6 sec ,16.809
Chrysler,Voyager,Voyager III,17.357
Chrysler,Voyager,Voyager III,11.4 sec ,17.162
Chrysler,Voyager,Voyager III,13.8 sec ,19.183
Chrysler,Voyager,Voyager III,12.5 sec ,17.308
Chrysler,Voyager,Voyager III,12.6 sec ,17.734
Chrysler,300M,300M,7.8 sec ,14.148
Chrysler,300M,300M,10.2 sec ,15.099
Chrysler,Nassau,Nassau Concept,12.788
Chrysler,Cirrus,Cirrus Coupe,10.9 sec ,16.168
Chrysler,Concorde,Concorde II,14.221
Chrysler,Concorde,Concorde II,7.8 sec ,14.148
Chrysler,Concorde,Concorde II,8 sec ,14.502
Chrysler,Concorde,Concorde II,9.5 sec ,14.433
Chrysler,Concorde,Concorde II,8.8 sec ,14.97
Chrysler,Pacifica (minivan),Pacifica (facelift 2021),14.905
Chrysler,Pacifica (minivan),Pacifica (facelift 2021),14.502
Chrysler,Pacifica (minivan),Pacifica (facelift 2021),15.532
Chrysler,Sebring,Sebring Convertible (JS),11.8 sec ,17.688
Chrysler,Sebring,Sebring Convertible (JS),11.8 sec ,17.688
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Voyager,Voyager IV,10 sec ,15.35
Chrysler,Voyager,Voyager IV,9.6 sec ,15.35
Chrysler,Voyager,Voyager IV,14.2 sec ,16.495
Chrysler,Voyager,Voyager IV,12.6 sec ,16.495
Chrysler,Voyager,Voyager IV,11.9 sec ,17.917
Chrysler,Voyager,Voyager IV,11.9 sec ,17.78
Chrysler,Voyager,Voyager IV,17.112
Chrysler,Voyager,Voyager IV,17.112
