Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Citroen,AMI,AMI Super,18.0 sec ,18.655,
Citroen,BX,"BX I (Phase II, 1987)",10.9 sec ,15.943,
Citroen,BX,"BX I (Phase II, 1987)",11.8 sec ,16.056,
Citroen,BX,"BX I (Phase II, 1987)",10 sec ,16.056,
Citroen,BX,"BX I (Phase II, 1987)",18.358,,
Citroen,BX,"BX I (Phase II, 1987)",17.2 sec ,18.902,
Citroen,BX,"BX I (Phase II, 1987)",7.9 sec ,14.292,
Citroen,BX,"BX I (Phase II, 1987)",9.6 sec ,14.639,
Citroen,BX,"BX I (Phase II, 1987)",8.9 sec ,15.288,
Citroen,BX,"BX I (Phase II, 1987)",15.472,,
Citroen,BX,"BX I (Phase II, 1987)",12.5 sec ,16,
Citroen,BX,"BX I (Phase II, 1987)",10.9 sec ,15.472,
Citroen,BX,"BX I (Phase II, 1987)",11.9 sec ,16.495,
Citroen,BX,"BX I (Phase II, 1987)",13.8 sec ,18.228,
Citroen,BX,"BX I (Phase II, 1987)",19.3,,
Citroen,BX,"BX I (Phase II, 1987)",11 sec ,16.168,
Citroen,BX,"BX I (Phase II, 1987)",12.6 sec ,16.86,
Citroen,BX,"BX I (Phase II, 1987)",13.8 sec ,16.758,
Citroen,BX,"BX I (Phase II, 1987)",11.3 sec ,16.333,
Citroen,BX,"BX I (Phase II, 1987)",14.9 sec ,17.688,
Citroen,BX,"BX I (Phase II, 1987)",12.6 sec ,17.308,
Citroen,BX,"BX I (Phase II, 1987)",17.405,,
Citroen,BX,"BX I (Phase II, 1987)",13.5 sec ,17.734,
Citroen,BX,"BX I (Phase II, 1987)",15.6 sec ,18.487,
Citroen,BX,"BX I (Phase II, 1987)",16.3 sec ,19.261,
Citroen,BX,"BX I (Phase II, 1987)",14.5 sec ,19.103,
Citroen,BX,"BX I (Phase II, 1987)",10.7 sec ,16.495,
Citroen,BX,"BX I (Phase II, 1987)",11.2 sec ,17.062,
Citroen,C3-XR,"C3-XR I (Phase I, 2014)",14.905,,
Citroen,C3-XR,"C3-XR I (Phase I, 2014)",16.653,,
Citroen,C3-XR,"C3-XR I (Phase I, 2014)",16.495,,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",8.6 sec ,15.652,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",10.8 sec ,16.333,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",12.5 sec ,16.653,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",10.8 sec ,16.333,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",8.7 sec ,15.288,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.3 sec ,16.653,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.3 sec ,16.758,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",12.9 sec ,17.871,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.2 sec ,16.653,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.3 sec ,16.653,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.2 sec ,17.112,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.3 sec ,17.062,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.2 sec ,17.112,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.3 sec ,17.062,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",11.9 sec ,17.641,
Citroen,C4,"C4 II Hatchback (Phase I, 2010)",9.9 sec ,15.943,
Citroen,ZX,"ZX (N2, Phase II) 5-door",10.8 sec ,16,
Citroen,ZX,"ZX (N2, Phase II) 5-door",10.2 sec ,15.769,
Citroen,ZX,"ZX (N2, Phase II) 5-door",not known,,
Citroen,ZX,"ZX (N2, Phase II) 5-door",17.452,,
Citroen,ZX,"ZX (N2, Phase II) 5-door",18.5 sec ,18.779,
Citroen,ZX,"ZX (N2, Phase II) 5-door",not known,,
Citroen,ZX,"ZX (N2, Phase II) 5-door",17.162,,
Citroen,ZX,"ZX (N2, Phase II) 5-door",17.641,,
Citroen,ZX,"ZX (N2, Phase II) 5-door",16.8 sec ,18.983,
Citroen,Xsara,"Xsara Break (N2, Phase I)",13.3 sec ,18.096,
Citroen,Xsara,"Xsara Break (N2, Phase I)",15.769,,
Citroen,Xsara,"Xsara Break (N2, Phase I)",10.2 sec ,15.652,
Citroen,Xsara,"Xsara Break (N2, Phase I)",12.8 sec ,17.962,
Citroen,Xsara,"Xsara Break (N2, Phase I)",16.8 sec ,18.655,
Citroen,Xsara,"Xsara Break (N2, Phase I)",17.7 sec ,19.378,
Citroen,Xsara,"Xsara Break (N2, Phase I)",11.1 sec ,16.601,
Citroen,Xsara,"Xsara Break (N2, Phase I)",15.8 sec ,17.012,
Citroen,Xsara,"Xsara Break (N2, Phase I)",13.5 sec ,17.547,
Citroen,Xsara,"Xsara Break (N2, Phase I)",14.9 sec ,17.871,
Citroen,Xsara,"Xsara Break (N2, Phase I)",14.6 sec ,18.444,
Citroen,C5 Aircross,C5 Aircross,8.9 sec ,15.035,
Citroen,C5 Aircross,C5 Aircross,8.6 sec ,15.592,
Citroen,C5 Aircross,C5 Aircross,14.84,,
Citroen,C5 Aircross,C5 Aircross,8.2 sec ,15.099,
Citroen,C5 Aircross,C5 Aircross,15.711,,
Citroen,C5 Aircross,C5 Aircross,10.4 sec ,16.809,
Citroen,C5 Aircross,C5 Aircross,10.6 sec ,16.809,
Citroen,C5 Aircross,C5 Aircross,10.5 sec ,16.706,
Citroen,C5 Aircross,C5 Aircross,10.3 sec ,16.809,
Citroen,C3,"C3 I X-TR (Phase II, 2005)",12 sec ,17.405,
Citroen,C3,"C3 I X-TR (Phase II, 2005)",14.5 sec ,17.357,
Citroen,C3,"C3 I X-TR (Phase II, 2005)",15.4 sec ,18.861,
Citroen,Xsara,"Xsara Coupe (N0, Phase III)",11.3 sec ,16.962,
Citroen,Xsara,"Xsara Coupe (N0, Phase III)",10.9 sec ,16.548,
Citroen,Xsara,"Xsara Coupe (N0, Phase III)",13.2 sec ,18.007,
Citroen,Xsara,"Xsara Coupe (N0, Phase III)",14.8 sec ,18.613,
Citroen,Xsara,"Xsara Coupe (N0, Phase III)",16.7 sec ,19.222,
Citroen,C5,"C5 II (Phase II, 2012)",8.3 sec ,15.472,
Citroen,C5,"C5 II (Phase II, 2012)",10 sec ,16.279,
Citroen,C5,"C5 II (Phase II, 2012)",9.1 sec ,16.112,
Citroen,C5,"C5 II (Phase II, 2012)",10.6 sec ,17.112,
Citroen,C5,"C5 II (Phase II, 2012)",8.7 sec ,15.769,
Citroen,C5,"C5 II (Phase II, 2012)",9.4 sec ,16.495,
Citroen,C5,"C5 II (Phase II, 2012)",12.2 sec ,17.308,
Citroen,C5,"C5 II (Phase II, 2012)",9.8 sec ,16.168,
Citroen,C5,"C5 II (Phase II, 2012)",8.6 sec ,16,
Citroen,C5,"C5 II (Phase II, 2012)",11.6 sec ,17.917,
Citroen,C5,"C5 II (Phase II, 2012)",12.6 sec ,18.007,
Citroen,C5,"C5 I Break (Phase I, 2000)",8.5 sec ,14.433,
Citroen,C5,"C5 I Break (Phase I, 2000)",10.6 sec ,14.84,
Citroen,C5,"C5 I Break (Phase I, 2000)",8.7 sec ,14.773,
Citroen,C5,"C5 I Break (Phase I, 2000)",12.5 sec ,17.112,
Citroen,C5,"C5 I Break (Phase I, 2000)",11.9 sec ,16.962,
Citroen,C5,"C5 I Break (Phase I, 2000)",10.8 sec ,16.224,
Citroen,C5,"C5 I Break (Phase I, 2000)",13.2 sec ,16.387,
Citroen,C5,"C5 I Break (Phase I, 2000)",11 sec ,16.387,
Citroen,C5,"C5 I Break (Phase I, 2000)",18.007,,
Citroen,C5,"C5 I Break (Phase I, 2000)",15.3 sec ,17.962,
Citroen,C5,"C5 I Break (Phase I, 2000)",13.3 sec ,17.871,
Citroen,C5,"C5 I Break (Phase I, 2000)",13.3 sec ,17.962,
Citroen,C5,"C5 I Break (Phase I, 2000)",15.8 sec ,19.023,
Citroen,C5,"C5 I Break (Phase I, 2000)",13 sec ,17.26,
Citroen,Dyane,Dyane I (Phase I),19.757,,
Citroen,Dyane,Dyane I (Phase I),20.883,,
Citroen,Dyane,Dyane I (Phase I),22.285,,
Citroen,Dyane,Dyane I (Phase I),22.574,,
Citroen,GS,GSA Break,19.261,,
Citroen,GS,GSA Break,18.358,,
Citroen,C1,"C1 I (Phase I, 2005 5-door)",15.6 sec ,19.3,
Citroen,C1,"C1 I (Phase I, 2005 5-door)",14 sec ,17.26,
Citroen,C1,"C1 I (Phase I, 2005 5-door)",13.7 sec ,17.26,
Citroen,C4,"C4 Berline (Phase I, 2015)",17.112,,
Citroen,C4,"C4 Berline (Phase I, 2015)",16.962,,
Citroen,C4,"C4 Berline (Phase I, 2015)",16.168,,
Citroen,C4,"C4 Berline (Phase I, 2015)",16.056,,
Citroen,CX,CX II Break,10.4 sec ,16.653,
Citroen,CX,CX II Break,10.2 sec ,16.653,
Citroen,CX,CX II Break,12.6 sec ,17.5,
Citroen,CX,CX II Break,14.2 sec ,18.272,
Citroen,CX,CX II Break,17.8 sec ,20.475,
Citroen,CX,CX II Break,17.9 sec ,20.475,
Citroen,CX,CX II Break,16.3 sec ,17.211,
Citroen,CX,CX II Break,12.5 sec ,17.211,
Citroen,CX,CX II Break,13.9 sec ,19.103,
Citroen,CX,CX II Break,17.405,,
Citroen,CX,CX II Break,14.9 sec ,17.871,
Citroen,XM,XM (Y3),8.6 sec ,14.707,
Citroen,XM,XM (Y3),10.9 sec ,15.472,
Citroen,XM,XM (Y3),9.7 sec ,15.35,
Citroen,XM,XM (Y3),14.9 sec ,17.962,
Citroen,XM,XM (Y3),12.4 sec ,17.641,
Citroen,XM,XM (Y3),17.6 sec ,18.983,
Citroen,XM,XM (Y3),11.8 sec ,16.279,
Citroen,XM,XM (Y3),9.8 sec ,16.279,
Citroen,XM,XM (Y3),14.4 sec ,16.387,
Citroen,XM,XM (Y3),11.5 sec ,16.387,
Citroen,XM,XM (Y3),15.0 sec ,16.86,
Citroen,XM,XM (Y3),11.9 sec ,16.706,
Citroen,XM,XM (Y3),12.2 sec ,16.911,
Citroen,e-Mehari,e-Mehari,20.816,,
Citroen,C5,"C5 I Break (Phase II, 2004)",14.433,,
Citroen,C5,"C5 I Break (Phase II, 2004)",8.8 sec ,15.035,
Citroen,C5,"C5 I Break (Phase II, 2004)",10.5 sec ,16.112,
Citroen,C5,"C5 I Break (Phase II, 2004)",8.7 sec ,16.056,
Citroen,C5,"C5 I Break (Phase II, 2004)",11.6 sec ,17.357,
Citroen,C5,"C5 I Break (Phase II, 2004)",10.4 sec ,16.653,
Citroen,C5,"C5 I Break (Phase II, 2004)",9.3 sec ,16.441,
Citroen,C5,"C5 I Break (Phase II, 2004)",10.6 sec ,17.162,
Citroen,C5,"C5 I Break (Phase II, 2004)",10 sec ,16.962,
Citroen,C5,"C5 I Break (Phase II, 2004)",11.6 sec ,17.452,
Citroen,C5,"C5 I Break (Phase II, 2004)",11.6 sec ,17.452,
Citroen,C5,"C5 I Break (Phase II, 2004)",10.7 sec ,17.012,
Citroen,C5,"C5 I Break (Phase II, 2004)",11.5 sec ,17.917,
Citroen,C5,"C5 I Break (Phase II, 2004)",11.5 sec ,17.917,
Citroen,ZX,"ZX Break (N2, Phase II)",12.7 sec ,17.594,
Citroen,ZX,"ZX Break (N2, Phase II)",18.7 sec ,18.861,
Citroen,ZX,"ZX Break (N2, Phase II)",not known,,
Citroen,ZX,"ZX Break (N2, Phase II)",16.653,,
Citroen,ZX,"ZX Break (N2, Phase II)",12.2 sec ,16.548,
Citroen,ZX,"ZX Break (N2, Phase II)",15.8 sec ,18.052,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",8.9 sec ,15.943,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",9.7 sec ,16,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",8.4 sec ,15.099,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",11.2 sec ,16.86,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",12.7 sec ,17.871,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",10.2 sec ,16.706,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",10.4 sec ,16.387,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",9.8 sec ,16.387,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",10.2 sec ,16.279,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",10.5 sec ,16.653,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",10.1 sec ,16.224,
Citroen,C4,"C4 SpaceTourer  (Phase I, 2018)",11.5 sec ,17.162,
Citroen,C4,"C4 L Sedan (Phase II, 2016)",12.5 sec ,17.26,
Citroen,C4,"C4 L Sedan (Phase II, 2016)",10.9 sec ,17.112,
Citroen,C4,"C4 L Sedan (Phase II, 2016)",8.1 sec ,15.885,
Citroen,C4,"C4 L Sedan (Phase II, 2016)",15.472,,
Citroen,C4,"C4 L Sedan (Phase II, 2016)",11.4 sec ,17.308,
Citroen,C4,"C4 L Sedan (Phase II, 2016)",16.441,,
Citroen,C4,"C4 L Sedan (Phase II, 2016)",16.168,,
Citroen,C2,"C2 I (Phase I, 2003)",8.9 sec ,15.711,
Citroen,C2,"C2 I (Phase I, 2003)",9.4 sec ,16.495,
Citroen,C2,"C2 I (Phase I, 2003)",11.9 sec ,16.168,
Citroen,C2,"C2 I (Phase I, 2003)",13 sec ,17.112,
Citroen,C2,"C2 I (Phase I, 2003)",15.4 sec ,18.096,
Citroen,C2,"C2 I (Phase I, 2003)",13.6 sec ,18.052,
Citroen,C2,"C2 I (Phase I, 2003)",16.5 sec ,18.821,
Citroen,C2,"C2 I (Phase I, 2003)",14.8 sec ,18.529,
Citroen,C2,"C2 I (Phase I, 2003)",16.1 sec ,18.902,
Citroen,CX,"CX I (Phase I, 1982)",12.3 sec ,16.601,
Citroen,CX,"CX I (Phase I, 1982)",10.6 sec ,16.601,
Citroen,CX,"CX I (Phase I, 1982)",12.8 sec ,17.012,
Citroen,CX,"CX I (Phase I, 1982)",10.9 sec ,16.962,
Citroen,CX,"CX I (Phase I, 1982)",13.7 sec ,18.821,
Citroen,CX,"CX I (Phase I, 1982)",17.3 sec ,19.978,
Citroen,CX,"CX I (Phase I, 1982)",8 sec ,15.288,
Citroen,CX,"CX I (Phase I, 1982)",11.7 sec ,16.333,
Citroen,CX,"CX I (Phase I, 1982)",9.2 sec ,16.279,
Citroen,CX,"CX I (Phase I, 1982)",13.3 sec ,18.613,
Citroen,CX,"CX I (Phase I, 1982)",16.8 sec ,19.978,
Citroen,CX,"CX I (Phase I, 1982)",11.7 sec ,16.333,
Citroen,CX,"CX I (Phase I, 1982)",9.7 sec ,16.279,
Citroen,CX,"CX I (Phase I, 1982)",10.3 sec ,16.653,
Citroen,CX,"CX I (Phase I, 1982)",12 sec ,16.706,
Citroen,CX,"CX I (Phase I, 1982)",11.7 sec ,17.211,
Citroen,LN,LNA,15.6 sec ,18.697,
Citroen,LN,LNA,18.779,,
Citroen,LN,LNA,20.475,,
Citroen,LN,LNA,24.8 sec ,20.883,
Citroen,ZX,"ZX (N2, Phase I) 3-door",8.5 sec ,14.773,
Citroen,ZX,"ZX (N2, Phase I) 3-door",9.4 sec ,15.652,
Citroen,ZX,"ZX (N2, Phase I) 3-door",17.405,,
Citroen,ZX,"ZX (N2, Phase I) 3-door",18.444,,
Citroen,ZX,"ZX (N2, Phase I) 3-door",18.5 sec ,19.103,
Citroen,ZX,"ZX (N2, Phase I) 3-door",10.2 sec ,16.224,
Citroen,ZX,"ZX (N2, Phase I) 3-door",17.112,,
Citroen,ZX,"ZX (N2, Phase I) 3-door",13.7 sec ,17.594,
Citroen,ZX,"ZX (N2, Phase I) 3-door",17.594,,
