Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Oldsmobile,Eighty-Eight,Eighty-eight,14.148,,
Oldsmobile,Eighty-Eight,Eighty-eight,14.84,,
Oldsmobile,Eighty-Eight,Eighty-eight,15.885,,
Daihatsu,Mira,Mira (GL800),18.613,,
Lordstown,Endurance,Endurance Crew Cab,13.218,,
Daewoo,Gentra,Gentra,not known,,
Daewoo,Gentra,Gentra,not known,,
Daewoo,Tico,Tico (KLY3),17 sec ,17.962,
Oldsmobile,Cutlass,Cutlass Supreme Convertible,15.162,,
Oldsmobile,Cutlass,Cutlass Supreme Convertible,17.162,,
Oldsmobile,Cutlass,Cutlass Supreme Convertible,16.387,,
Daewoo,Nexia,Nexia Hatchback (KLETN),not known,,
Daewoo,Nexia,Nexia Hatchback (KLETN),12.2 sec ,16.962,
Daewoo,Nexia,Nexia Hatchback (KLETN),12.2 sec ,16.962,
Daewoo,Nexia,Nexia Hatchback (KLETN),12.5 sec ,17.547,
Daewoo,Nexia,Nexia Hatchback (KLETN),12.5 sec ,17.547,
Dacia,Lodgy,Lodgy,12 sec,17.594,
Dacia,Lodgy,Lodgy,12 sec,17.594,
Dacia,Lodgy,Lodgy,11.6 sec ,17.547,
Dacia,Lodgy,Lodgy,11.6 sec ,17.308,
Dacia,Lodgy,Lodgy,15.1 sec,18.861,
Dacia,Lodgy,Lodgy,15.1 sec,18.821,
Dacia,Lodgy,Lodgy,14.5 sec ,17.871,
Dacia,Lodgy,Lodgy,11.6 sec ,17.112,
Dacia,Lodgy,Lodgy,12.4 sec ,18.184,
Dacia,Lodgy,Lodgy,11.1 sec ,16.601,
Daihatsu,Ayla,Ayla (facelift 2017),16.279,,
Daihatsu,Ayla,Ayla (facelift 2017),16.168,,
Daihatsu,Ayla,Ayla (facelift 2017),17.452,,
Daihatsu,Ayla,Ayla (facelift 2017),17.26,,
Daewoo,Tacuma,Tacuma,12 sec ,17.062,
Daewoo,Tacuma,Tacuma,10.5 sec ,17.062,
Daewoo,Tacuma,Tacuma,15 sec ,17.452,
Daewoo,Tacuma,Tacuma,12 sec ,17.452,
Daihatsu,Storia,Storia (M1),15.943,,
Daihatsu,Storia,Storia (M1),17.871,,
Daihatsu,Materia,Materia,13.7 sec ,16.441,
Daihatsu,Materia,Materia,11.9 sec ,16.706,
Daihatsu,Materia,Materia,10.8 sec ,16.333,
Daihatsu,Materia,Materia,11.5 sec ,17.012,
Dacia,1300,1300 Combi,not known,,
Daewoo,Nubira,Nubira Wagon (KLAJ),11 sec ,15.711,
Daewoo,Nubira,Nubira Wagon (KLAJ),9 sec ,15.711,
Daewoo,Nubira,Nubira Wagon (KLAJ),13 sec ,16.758,
Daewoo,Nubira,Nubira Wagon (KLAJ),11 sec ,16.758,
DS,3,3 (facelift 2023),9 sec ,16.279,
DS,3,3 (facelift 2023),not known,,
DS,3,3 (facelift 2023),not known,,
DS,3,3 (facelift 2023),10.9 sec ,17.162,
Daewoo,Kalos,Kalos Sedan,16.333,,
Daewoo,Kalos,Kalos Sedan,11.9 sec ,16.962,
Daewoo,Kalos,Kalos Sedan,11.1 sec ,16.962,
Daewoo,Kalos,Kalos Sedan,13.3 sec ,17.5,
Daewoo,Kalos,Kalos Sedan,13.7 sec ,17.962,
Daihatsu,Terios,Terios KID,18.943,,
Daihatsu,Terios,Terios KID,18.943,,
Daihatsu,Terios,Terios KID,19.103,,
Daihatsu,Terios,Terios KID,19.103,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daihatsu,Charade,Charade III,not known,,
Daewoo,Magnus,Magnus,15.532,,
Daewoo,Magnus,Magnus,16.279,,
Daewoo,Magnus,Magnus,17.012,,
Daewoo,Magnus,Magnus,17.012,,
Daewoo,Magnus,Magnus,15.711,,
Daewoo,Magnus,Magnus,15.711,,
Daihatsu,Ayla,Ayla,17.26,,
Daihatsu,Ayla,Ayla,16.962,,
Daihatsu,Opti,Opti (L8),17.871,,
Daewoo,Nexia,"Nexia (KLETN, facelift 2008)",11 sec ,16,
Daewoo,Nexia,"Nexia (KLETN, facelift 2008)",12.5 sec ,17.405,
Oldsmobile,Cutlass,Cutlass Calais,14.773,,
Oldsmobile,Cutlass,Cutlass Calais,16.962,,
Oldsmobile,Cutlass,Cutlass Calais,16.962,,
Oldsmobile,Cutlass,Cutlass Calais,14.773,,
Daihatsu,Move,Move Latte (L55),18.096,,
Daihatsu,Move,Move Latte (L55),18.315,,
Daihatsu,Sirion,Sirion (M2),12 sec ,17.012,
Daihatsu,Sirion,Sirion (M2),12 sec ,17.012,
Daihatsu,Sirion,Sirion (M2),12.5 sec ,16.758,
Daihatsu,Sirion,Sirion (M2),10.9 sec ,16.758,
Daihatsu,Sirion,Sirion (M2),13.5 sec ,17.78,
Daihatsu,Applause,Applause II,10.2 sec ,16.653,
Daihatsu,Applause,Applause II,9.8 sec ,16.653,
Oldsmobile,Cutlass,Cutlass Supreme Coupe,14.363,,
Oldsmobile,Cutlass,Cutlass Supreme Coupe,16.441,,
Oldsmobile,Cutlass,Cutlass Supreme Coupe,15.711,,
Oldsmobile,Silhouette,Silhouette II,11 sec ,16.224,
Oldsmobile,Silhouette,Silhouette II,11 sec ,15.943,
Oldsmobile,Silhouette,Silhouette II,16.86,,
Daewoo,Lacetti,Lacetti,10.7 sec ,16.279,
Daewoo,Lacetti,Lacetti,9.5 sec ,16.279,
Daewoo,Lacetti,Lacetti,11.5 sec ,16.706,
Daewoo,Lacetti,Lacetti,10.7 sec ,16.706,
Daewoo,Lacetti,Lacetti,11.6 sec ,17.688,
Daewoo,LE Mans,LE Mans,not known,,
Daewoo,LE Mans,LE Mans,18.401,,
