Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Ford,Granada,Granada Coupe (GGCL),not known
Ford,Granada,Granada Coupe (GGCL),not known
Ford,Granada,Granada Coupe (GGCL),not known
Ford,Mustang,Mustang III,13.852
Ford,Mustang,Mustang III,17.26
Ford,Mustang,Mustang I,12.134
Ford,Mustang,Mustang I,13.218
Ford,Mustang,Mustang I,14.363
Ford,Mustang,Mustang I,17.112
Ford,EcoSport,EcoSport II (facelift 2017),15.828
Ford,EcoSport,EcoSport II (facelift 2017),14 sec ,17.405
Ford,EcoSport,EcoSport II (facelift 2017),10.7 sec ,16.962
Ford,EcoSport,EcoSport II (facelift 2017),11.8 sec ,15.532
Ford,EcoSport,EcoSport II (facelift 2017),11.6 sec ,16.333
Ford,EcoSport,EcoSport II (facelift 2017),12.7 sec ,16.112
Ford,EcoSport,EcoSport II (facelift 2017),11.9 sec ,17.688
Ford,KA,KA+ Active,11.4 sec ,not known
Ford,KA,KA+ Active,13.5 sec ,not known
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Short box,14.707
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Short box,15.035
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Short box,14.84
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Short box,15.099
Ford,Focus,Focus IV Sedan,15.35
Ford,Focus,Focus IV Sedan,15.35
Ford,Focus,Focus IV Sedan,16.758
Ford,Focus,Focus IV Sedan,16.758
Ford,Escort,Escort V (GAL),8.6 sec ,14.84
Ford,Escort,Escort V (GAL),not known
Ford,Escort,Escort V (GAL),not known
Ford,Escort,Escort V (GAL),not known
Ford,Escort,Escort V (GAL),not known
Ford,Escort,Escort V (GAL),10.6 sec ,16.333
Ford,Escort,Escort V (GAL),not known
Ford,Escort,Escort V (GAL),not known
Ford,Kuga,Kuga I,8.8 sec ,15.225
Ford,Kuga,Kuga I,8.2 sec ,15.099
Ford,Kuga,Kuga I,10.7 sec ,18.861
Ford,Kuga,Kuga I,10.6 sec ,18.861
Ford,Mustang,Mustang V (facelift 2012),11.726
Ford,Mustang,Mustang V (facelift 2012),12.034
Ford,Mustang,Mustang V (facelift 2012),11.933
Ford,Mustang,Mustang V (facelift 2012),13.134
Ford,Mustang,Mustang V (facelift 2012),13.134
Ford,Focus,Focus Hatchback I,6.7 sec ,13.463
Ford,Focus,Focus Hatchback I,7.5 sec ,14.639
Ford,Focus,Focus Hatchback I,9.3 sec ,15.592
Ford,Focus,Focus Hatchback I,9.3 sec ,15.652
Ford,Focus,Focus Hatchback I,9.2 sec ,15.652
Ford,Focus,Focus Hatchback I,12.4 sec ,17.871
Ford,Focus,Focus Hatchback I,10.8 sec ,16.911
Ford,Focus,Focus Hatchback I,14.7 sec ,19.023
Ford,Focus,Focus Hatchback I,10.2 sec ,16.224
Ford,Focus,Focus Hatchback I,12.8 sec ,not known
Ford,Focus,Focus Hatchback I,12.4 sec ,16.706
