Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Lada,2104,21044,17 sec ,17.962,
Lada,2108,21083,not known,,
Lada,2108,21083,not known,,
Lada,Granta,Granta I (facelift 2018) Sedan,11.2 sec ,17.308,
Lada,Granta,Granta I (facelift 2018) Sedan,12 sec ,16.387,
Lada,Granta,Granta I (facelift 2018) Sedan,10.5 sec ,16.387,
Lada,Granta,Granta I (facelift 2018) Sedan,13.1 sec ,16.86,
Lada,Granta,Granta I (facelift 2018) Sedan,11.6 sec ,17.547,
Landwind,SUV,SUV,20.916,,
Landwind,SUV,SUV,18.697,,
Lamborghini,Huracan,Huracan Performante,2.9 sec ,9.86,
Lexus,GX,"GX (J120, facelift 2007)",8.4 sec ,15.288,
Land Rover,Range Rover,Range Rover IV (facelift 2017),5.4 sec ,12.423,
Land Rover,Range Rover,Range Rover IV (facelift 2017),6.8 sec ,13.927,
Land Rover,Range Rover,Range Rover IV (facelift 2017),6.3 sec ,13.542,
Land Rover,Range Rover,Range Rover IV (facelift 2017),5.4 sec ,12.516,
Land Rover,Range Rover,Range Rover IV (facelift 2017),6.9 sec ,14.773,
Land Rover,Range Rover,Range Rover IV (facelift 2017),7.3 sec ,14.773,
Land Rover,Range Rover,Range Rover IV (facelift 2017),7.3 sec ,13.699,
Land Rover,Range Rover,Range Rover IV (facelift 2017),7.4 sec ,14.221,
Land Rover,Range Rover,Range Rover IV (facelift 2017),8 sec ,15.592,
Land Rover,Range Rover,Range Rover IV (facelift 2017),7.9 sec ,15.288,
Land Rover,Range Rover,Range Rover IV (facelift 2017),8 sec ,15.769,
Land Rover,Range Rover,Range Rover IV (facelift 2017),6.9 sec ,14.002,
Land Rover,Range Rover,Range Rover IV (facelift 2017),7.1 sec ,14.148,
Land Rover,Range Rover,Range Rover IV (facelift 2017),7.4 sec ,14.905,
Land Rover,Range Rover,Range Rover IV (facelift 2017),8.6 sec ,15.828,
Land Rover,Discovery,Discovery III,8.6 sec ,15.532,
Land Rover,Discovery,Discovery III,11.7 sec ,17.871,
Land Rover,Discovery,Discovery III,11.5 sec ,17.871,
Lada,2113,2113,17.5,,
Lada,2131,2131,22 sec ,19.378,
Lada,2131,2131,25 sec ,19.607,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),5.5 sec ,12.964,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),6.3 sec ,13.699,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),6.5 sec ,14.363,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),6.5 sec ,14.221,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),5.4 sec ,13.218,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),7.5 sec ,14.84,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),8.2 sec ,16.056,
Land Rover,Range Rover Velar,Range Rover Velar (facelift 2020),8.2 sec ,15.885,
Lotus,Elite,Elite (Type 83),not known,,
Lamborghini,Murcielago,Murcielago Roadster,3.85 sec ,not known,
Lotus,Evora,Evora GT4,11.287,,
Lamborghini,Murcielago,Murcielago LP640,3.4 sec ,10.811,
Lamborghini,Murcielago,Murcielago LP640,3.4 sec ,10.811,
Lada,2109,21099-20,14 sec ,17.547,
Lada,Granta,Granta I (facelift 2018) Combi,12.2 sec ,16.653,
Lada,Granta,Granta I (facelift 2018) Combi,10.7 sec ,16.653,
Lada,Granta,Granta I (facelift 2018) Combi,13.1 sec ,17.112,
Lada,Granta,Granta I (facelift 2018) Combi,11.9 sec ,17.78,
Lexus,LS,LS IV,6.3 sec ,13.049,
Lexus,LS,LS IV,5.7 sec ,13.134,
Lexus,LS,LS IV,6.3 sec ,13.542,
Lamborghini,Espada,Espada,12.699,,
Lamborghini,Espada,Espada,12.699,,
Lamborghini,Espada,Espada,12.608,,
Lada,Niva,Niva II,19 sec ,20.087,
Lancia,Gamma,Gamma Coupe,9.7 sec ,15.828,
Lada,Niva,Niva 3-door (facelift 2009),17 sec ,18.655,
Lamborghini,Aventador,Aventador LP 780-4 Ultimae Roadster,2.9 sec ,9.708,
Lada,Revolution,Revolution I,6.5 sec ,10.934,
Lada,Revolution,Revolution I,12.134,,
Lada,Niva,Niva Urban 3-door,17 sec ,18.529,
Lotus,Exige,Exige II,3.9 sec ,11.83,
Lotus,Exige,Exige II,5.2 sec ,12.608,
Lada,2110,21104,12 sec ,17.162,
Lada,2110,21104,12.5 sec ,17.062,
Lexus,RX,RX IV,8 sec ,14.502,
Lexus,RX,RX IV,7.7 sec ,14.292,
Lexus,RX,RX IV,14.502,,
Lexus,RX,RX IV,14.639,,
Lexus,RX,RX IV,14.502,,
Lexus,RX,RX IV,8.5 sec ,14.221,
Lexus,RX,RX IV,14.075,,
Lexus,RX,RX IV,14.292,,
Lexus,RX,RX IV,14.148,,
Lexus,RX,RX IV,9.5 sec ,15.592,
Lexus,RX,RX IV,9.2 sec ,15.411,
Lada,2328,2328,25 sec ,19.607,
Lada,2110,21108 Premier,13 sec ,17.357,
Lada,XRAY,XRAY,10.9 sec ,16.224,
Lada,XRAY,XRAY,10.4 sec ,16.224,
Lada,XRAY,XRAY,11.1 sec ,16.758,
Lada,XRAY,XRAY,11.4 sec ,16.962,
Lexus,CT,CT I (facelift 2017),10.3 sec ,16.653,
Land Rover,Discovery,Discovery II,12.8 sec ,16.809,
Land Rover,Discovery,Discovery II,11.7 sec ,16.809,
Land Rover,Discovery,Discovery II,17.1 sec ,18.655,
Land Rover,Discovery,Discovery II,15.3 sec ,18.655,
Lada,2107,21072,18 sec ,19.143,
Lexus,GS,GS II,5.9 sec ,13.463,
Lexus,GS,GS II,8.3 sec ,14.707,
Lexus,GS,GS II,8.2 sec ,14.97,
Lada,2103,21033,21 sec ,18.184,
Lamborghini,Revuelto,Revuelto (LB744),2.5 sec ,9.048,
Land Rover,Freelander,Freelander I Hard Top,11.1 sec ,15.652,
Land Rover,Freelander,Freelander I Hard Top,14.4 sec ,18.272,
Land Rover,Freelander,Freelander I Hard Top,12.6 sec ,17.452,
Land Rover,Discovery,Discovery IV,7.9 sec ,not known,
Land Rover,Discovery,Discovery IV,7.9 sec ,not known,
Land Rover,Discovery,Discovery IV,11.6 sec ,not known,
Land Rover,Discovery,Discovery IV,9.3 sec ,not known,
Land Rover,Discovery,Discovery IV,9.6 sec ,not known,
Land Rover,Discovery,Discovery IV,10.7 sec ,not known,
Land Rover,Discovery,Discovery IV,12.7 sec ,not known,
Land Rover,Discovery,Discovery IV,11.7 sec ,not known,
Lexus,UX,UX,7.5 sec ,15.769,
Lexus,UX,UX,8.7 sec ,15.769,
Lexus,UX,UX,8.5 sec ,15.592,
Lexus,UX,UX,9.2 sec ,15.472,
Land Rover,Range Rover,Range Rover III (facelift 2009),6.2 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),6.2 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),7.6 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),7.8 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),9.2 sec ,not known,
Land Rover,Defender,Defender 130 (L663),6.6 sec ,14.002,
Land Rover,Defender,Defender 130 (L663),8 sec ,15.411,
Land Rover,Defender,Defender 130 (L663),7.5 sec ,15.472,
Land Rover,Defender,Defender 130 (L663),7.5 sec ,15.411,
Land Rover,Defender,Defender 130 (L663),8.9 sec ,16.441,
Land Rover,Defender,Defender 130 (L663),8.9 sec ,16.387,
Lexus,GX,GX (J120),8.4 sec ,15.288,
Lexus,GX,GX (J120),8.4 sec ,15.288,
Lexus,GX,GX (J120),8.9 sec ,15.769,
Lada,2129,2129,25 sec ,19.378,
Lada,2129,2129,25 sec ,19.607,
Lamborghini,Huracan,Huracan Tecnica (facelift 2022),3.2 sec ,9.86,
Lexus,GS,GS II (facelift 2000),13.542,,
Lexus,GS,GS II (facelift 2000),6.3 sec ,13.927,
Lexus,GS,GS II (facelift 2000),7.6 sec ,14.905,
Land Rover,Defender,Defender 90 Works V8,5.8 sec ,not known,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),4.5 sec ,12.034,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.7 sec ,13.852,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.3 sec ,12.423,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.3 sec ,12.423,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.9 sec ,14.639,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.2 sec ,14.148,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.2 sec ,14.148,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.571,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.571,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.9 sec ,15.592,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.9 sec ,13.382,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.9 sec ,13.382,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.6 sec ,13.852,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.6 sec ,13.852,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.9 sec ,14.002,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.707,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.707,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.5 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.5 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.3 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.3 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",10.3 sec ,16.333,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",11 sec ,17.162,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",13.5 sec ,17.688,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",13.5 sec ,17.688,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",10.4 sec ,16.495,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",10.9 sec ,16.495,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",10.5 sec ,17.162,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",11 sec ,17.162,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",14 sec ,18.228,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",14.5 sec ,18.228,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",15.8 sec ,18.14,
Lancia,Ypsilon,"Ypsilon (843, facelift 2006)",16.8 sec ,19.023,
Lotus,Evora,Evora GT430,3.7 sec ,10.934,
Lotus,Evora,Evora GT430,3.8 sec ,10.934,
Lotus,Evora,Evora GT430,3.7 sec ,10.934,
Lotus,Evora,Evora GT430,3.8 sec ,10.934,
Lotus,Elise,Elise (Series 1),5.4 sec ,13.218,
Lotus,Elise,Elise (Series 1),5.9 sec ,13.621,
Lotus,Excel,Excel,7 sec ,13.927,
Lotus,Excel,Excel,not known,,
Lancia,Delta,"Delta I (831, facelift 1991)",5.7 sec ,13.927,
Lancia,Delta,"Delta I (831, facelift 1991)",6.9 sec ,14.639,
