Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Opel,Astra,Astra F Caravan,8.5 sec ,15.099,
Opel,Astra,Astra F Caravan,10 sec ,16.112,
Opel,Astra,Astra F Caravan,9.8 sec ,15.885,
Opel,Astra,Astra F Caravan,15 sec ,17.547,
Opel,Astra,Astra F Caravan,13 sec ,17.452,
Opel,Astra,Astra F Caravan,14.8 sec ,18.184,
Opel,Astra,Astra F Caravan,19.5 sec ,19.942,
Opel,Astra,Astra F Caravan,19.5 sec ,20.158,
Opel,Astra,Astra F Caravan,14.5 sec ,18.052,
Opel,Astra,Astra F Caravan,14.5 sec ,18.655,
Opel,Astra,Astra F Caravan,13 sec ,16.548,
Opel,Astra,Astra F Caravan,11.5 sec ,16.548,
Opel,Astra,Astra F Caravan,17 sec ,19.339,
Opel,Astra,Astra F Caravan,15 sec ,17.547,
Opel,Astra,Astra F Caravan,13.5 sec ,17.5,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",7.6 sec ,14.639,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",9 sec ,not known,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",9.1 sec ,16.056,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",8 sec ,not known,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",7.9 sec ,not known,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",8.9 sec ,15.828,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",12.4 sec ,17.641,
Opel,Insignia,"Insignia Sports Tourer (B, facelift 2020)",10.8 sec ,not known,
Opel,Frontera,Frontera A,16.8 sec ,19.183,
Opel,Frontera,Frontera A,16.8 sec ,19.378,
Opel,Frontera,Frontera A,18.6 sec ,18.184,
Opel,Frontera,Frontera A,18.6 sec ,not known,
Opel,Frontera,Frontera A,19.3 sec ,19.831,
Opel,Frontera,Frontera A,13.6 sec ,17.962,
Opel,Frontera,Frontera A,13.6 sec ,17.962,
Opel,Meriva,Meriva B,9.9 sec ,16.86,
Opel,Meriva,Meriva B,9.9 sec ,16.86,
Opel,Meriva,Meriva B,12.9 sec ,17.826,
Opel,Meriva,Meriva B,11.8 sec ,17.826,
Opel,Meriva,Meriva B,13.9 sec ,18.401,
Opel,Meriva,Meriva B,13.9 sec ,17.78,
Opel,Meriva,Meriva B,10.3 sec ,15.885,
Opel,Meriva,Meriva B,11.9 sec ,15.885,
Opel,Meriva,Meriva B,10.3 sec ,15.885,
Opel,Meriva,Meriva B,11.5 sec ,16.706,
Opel,Meriva,Meriva B,12.5 sec ,16.706,
Opel,Meriva,Meriva B,11.5 sec ,16.706,
Opel,Meriva,Meriva B,11.8 sec,16.706,
Opel,Meriva,Meriva B,13.8 sec ,18.697,
Opel,Meriva,Meriva B,13.8 sec ,18.697,
Opel,Meriva,Meriva B,16.9 sec ,20.23,
Opel,Astra,Astra G Caravan,10.5 sec ,15.472,
Opel,Astra,Astra G Caravan,9.3 sec ,15.35,
Opel,Astra,Astra G Caravan,11 sec ,15.769,
Opel,Astra,Astra G Caravan,9.5 sec ,15.592,
Opel,Astra,Astra G Caravan,12.5 sec ,17.547,
Opel,Astra,Astra G Caravan,16 sec ,18.779,
Opel,Astra,Astra G Caravan,15 sec ,18.655,
Opel,Astra,Astra G Caravan,11.5 sec ,16.387,
Opel,Astra,Astra G Caravan,10.5 sec ,16.333,
Opel,Astra,Astra G Caravan,11.5 sec ,16.279,
Opel,Astra,Astra G Caravan,10 sec ,16.224,
Opel,Astra,Astra G Caravan,17.5 sec ,19.417,
Opel,Astra,Astra G Caravan,15 sec ,19.103,
Opel,Astra,Astra G Caravan,15 sec ,18.228,
Opel,Astra,Astra G Caravan,13.5 sec ,18.096,
Opel,Astra,Astra G Caravan,14 sec ,16.962,
Opel,Astra,Astra G Caravan,12 sec ,16.86,
Opel,Astra,Astra G Caravan,17 sec ,18.571,
Opel,Astra,Astra G Caravan,15 sec ,18.487,
Opel,Astra,Astra G Caravan,15.5 sec ,17.5,
Opel,Astra,Astra G Caravan,13 sec ,17.405,
Opel,Astra,Astra G Caravan,15.5 sec ,18.487,
Opel,Ascona,Ascona B (facelift 1979),7.6 sec ,14.639,
Opel,Ascona,Ascona B (facelift 1979),10 sec ,15.711,
Opel,Ascona,Ascona B (facelift 1979),15.5 sec ,17.5,
Opel,Ascona,Ascona B (facelift 1979),18 sec ,18.738,
Opel,Grandland,Grandland X,9.1 sec ,15.472,
Opel,Grandland,Grandland X,12.2 sec ,17.012,
Opel,Grandland,Grandland X,11.8 sec ,16.86,
Opel,Grandland,Grandland X,6.1 sec ,13.776,
Opel,Grandland,Grandland X,8.9 sec ,15.162,
Opel,Grandland,Grandland X,8.8 sec ,15.099,
Opel,Grandland,Grandland X,12.3 sec ,16.653,
Opel,Grandland,Grandland X,11.3 sec ,16.601,
Opel,Grandland,Grandland X,10.3 sec ,16.441,
Opel,Grandland,Grandland X,10.9 sec ,16.333,
Opel,Grandland,Grandland X,10.4 sec ,16.333,
Opel,Grandland,Grandland X,11.1 sec ,16.224,
Opel,Movano,Movano B,not known,,
Opel,Movano,Movano B,not known,,
Opel,Movano,Movano B,not known,,
Opel,Movano,Movano B,not known,,
Opel,Movano,Movano B,not known,,
Opel,Movano,Movano B,not known,,
Opel,Movano,Movano B,not known,,
Opel,Rekord,Rekord C,16.86,,
Opel,Rekord,Rekord C,16.86,,
Opel,Rekord,Rekord C,16.86,,
Opel,Rekord,Rekord C,17.162,,
Opel,Rekord,Rekord C,17.162,,
Opel,Rekord,Rekord C,17.162,,
Opel,Rekord,Rekord C,17.162,,
Opel,Rekord,Rekord C,18.228,,
Opel,Rekord,Rekord C,18.228,,
Opel,Rekord,Rekord C,19.645,,
Opel,Rekord,Rekord C,19.645,,
Opel,Rekord,Rekord C,19.868,,
Opel,Rekord,Rekord C,19.868,,
Opel,Vivaro,Vivaro C Combi S,17.162,,
Opel,Vivaro,Vivaro C Combi S,18.738,,
Opel,Vivaro,Vivaro C Combi S,18.358,,
Opel,Vivaro,Vivaro C Combi S,19.493,,
Opel,Astra,Astra K,11.619,,
Opel,Astra,Astra K,9.4 sec ,16.168,
Opel,Astra,Astra K,9.4 sec ,16.112,
Opel,Astra,Astra K,11.2 sec ,17.211,
Opel,Astra,Astra K,7.8 sec ,14.148,
Opel,Astra,Astra K,7.8 sec ,14.075,
Opel,Astra,Astra K,7 sec ,14.075,
Opel,Astra,Astra K,8.6 sec ,15.162,
Opel,Astra,Astra K,9.6 sec ,16,
Opel,Astra,Astra K,9.7 sec ,16.056,
Opel,Astra,Astra K,11 sec ,17.211,
Opel,Astra,Astra K,11 sec ,17.211,
Opel,Astra,Astra K,12.7 sec ,18.007,
Opel,Astra,Astra K,9 sec ,15.652,
Opel,Astra,Astra K,8.7 sec ,15.288,
Opel,Astra,Astra K,8.5 sec ,15.162,
Opel,Astra,Astra K,9.5 sec ,16.112,
Opel,Astra,Astra K,8.5 sec ,15.162,
Opel,Astra,Astra K,8.9 sec ,15.288,
Opel,Astra,Astra K,8.3 sec ,15.162,
Opel,Astra,Astra K,9.5 sec ,16.112,
Opel,Astra,Astra K,9.2 sec ,16.112,
Opel,Astra,Astra K,10.9 sec ,17.211,
Opel,Astra,Astra K,13.4 sec ,17.211,
Opel,Astra,Astra K,11.2 sec ,17.062,
Opel,Astra,Astra K,12.7 sec ,17.062,
Opel,Astra,Astra K,11.6 sec ,17.062,
Opel,Astra,Astra K,12.2 sec ,17.962,
Opel,Agila,Agila I,15 sec ,18.738,
Opel,Agila,Agila I,13 sec ,17.5,
Opel,Agila,Agila I,13 sec ,17.734,
Opel,Agila,Agila I,18 sec ,19.183,
Opel,Ascona,Ascona C CC,9.3 sec ,15.411,
Opel,Ascona,Ascona C CC,10 sec ,16,
Opel,Ascona,Ascona C CC,10 sec ,16,
Opel,Ascona,Ascona C CC,10.5 sec ,15.885,
Opel,Ascona,Ascona C CC,11.8 sec ,16.86,
Opel,Ascona,Ascona C CC,12.5 sec ,17.5,
Opel,Ascona,Ascona C CC,16.5 sec ,18.444,
Opel,Ascona,Ascona C CC,14 sec ,18.052,
Opel,Ascona,Ascona C CC,12.5 sec ,17.012,
Opel,Ascona,Ascona C CC,20 sec ,20.335,
Opel,Ascona,Ascona C CC,14 sec ,17.452,
Opel,Ascona,Ascona C CC,14.5 sec ,18.007,
Opel,Ascona,Ascona C CC,15 sec ,17.78,
Opel,Ascona,Ascona C CC,17.5 sec ,19.143,
Opel,Vectra,Vectra A CC,16.168,,
Opel,Vectra,Vectra A CC,16.168,,
Opel,Vectra,Vectra A CC,12 sec ,16.387,
Opel,Vectra,Vectra A CC,11 sec ,16.387,
Opel,Vectra,Vectra A CC,10.5 sec ,16.387,
Opel,Vectra,Vectra A CC,8.5 sec ,15.225,
Opel,Vectra,Vectra A CC,12 sec ,16.224,
Opel,Vectra,Vectra A CC,10.5 sec ,16.224,
Opel,Vectra,Vectra A CC,not known,,
Opel,Vectra,Vectra A CC,15 sec ,17.594,
Opel,Vectra,Vectra A CC,12.5 sec ,17.594,
Opel,Vectra,Vectra A CC,15 sec ,17.308,
Opel,Vectra,Vectra A CC,12.5 sec ,17.308,
Opel,Vectra,Vectra A CC,not known,,
Opel,Vectra,Vectra A CC,not known,,
Opel,Vectra,Vectra A CC,not known,,
Opel,Vectra,Vectra A CC,14.5 sec ,18.444,
Opel,Vectra,Vectra A CC,20 sec ,20.3,
Opel,Vectra,Vectra A CC,14 sec ,18.096,
Opel,Vectra,Vectra A CC,17.641,,
Opel,Vectra,Vectra A CC,14 sec ,17.641,
Opel,Vectra,Vectra A CC,14 sec ,18.007,
Opel,Vectra,Vectra B CC,9.5 sec ,15.225,
Opel,Vectra,Vectra B CC,8.5 sec ,15.225,
Opel,Vectra,Vectra B CC,10 sec ,16.112,
