Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Porsche,911,911 Coupe (Type 930),12.034
Porsche,911,911 Coupe (Type 930),5.4 sec ,12.328
Porsche,911,911 Coupe (Type 930),5.2 sec ,12.516
Porsche,911,911 Coupe (Type 930),5.4 sec ,12.699
Porsche,911,911 Coupe (Type 930),5.5 sec ,12.423
Porsche,911,911 Coupe (Type 930),5.5 sec ,12.877
Peugeot,308,"308 II (Phase II, 2017)",6 sec ,12.516
Peugeot,308,"308 II (Phase II, 2017)",6 sec ,13.218
Peugeot,308,"308 II (Phase II, 2017)",8.2 sec ,14.707
Peugeot,308,"308 II (Phase II, 2017)",7.5 sec ,13.699
Peugeot,308,"308 II (Phase II, 2017)",8.2 sec ,not known
Peugeot,308,"308 II (Phase II, 2017)",8.6 sec ,15.592
Peugeot,308,"308 II (Phase II, 2017)",8.9 sec ,15.532
Peugeot,308,"308 II (Phase II, 2017)",7.4 sec ,not known
Peugeot,308,"308 II (Phase II, 2017)",9.5-10.2 sec ,16.333
Peugeot,308,"308 II (Phase II, 2017)",9.6-10.3 sec ,16.224
Peugeot,308,"308 II (Phase II, 2017)",11.3 sec ,17.211
Peugeot,308,"308 II (Phase II, 2017)",9.4 sec ,15.943
Peugeot,308,"308 II (Phase II, 2017)",9.8 sec ,15.828
Peugeot,308,"308 II (Phase II, 2017)",11.5 sec ,17.26
Peugeot,308,"308 II (Phase II, 2017)",9.8 sec ,not known
Peugeot,308,"308 II (Phase II, 2017)",9.1-9.8 sec ,15.652
Peugeot,308,"308 II (Phase II, 2017)",9.1 sec ,not known
Peugeot,308,"308 II (Phase II, 2017)",9.6-10.3 sec ,15.411
Peugeot,308,"308 II (Phase II, 2017)",10.1 sec ,not known
Peugeot,308,"308 II (Phase II, 2017)",11.1-11.8 sec ,16.224
Porsche,911,911 Speedster,5.7 sec ,13.301
Porsche,911,911 Speedster,5.7 sec ,13.301
Peugeot,309,"309 (10C,10A) 3-door",8.0 sec ,14.502
Peugeot,309,"309 (10C,10A) 3-door",15.3 sec ,18.401
Peugeot,309,"309 (10C,10A) 3-door",13.4 sec ,17.112
Peugeot,309,"309 (10C,10A) 3-door",11.1 sec ,15.35
Peugeot,309,"309 (10C,10A) 3-door",14.8 sec ,17.962
Peugeot,309,"309 (10C,10A) 3-door",15.4 sec ,17.826
