Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Renault,6,6,not known,,
Renault,6,6,19.942,,
Rolls-Royce,Park Ward,Park Ward,7.3 sec ,14.84,
Renault,Duster,Duster II,10.9 sec ,16.224,
Renault,Duster,Duster II,13.1 sec ,16.962,
Renault,Duster,Duster II,12.1 sec ,16.706,
Renault,Duster,Duster II,13.3 sec ,17.78,
Renault,Duster,Duster II,10.4 sec ,16,
Renault,Duster,Duster II,10.7 sec ,15.885,
RAM,1500,1500 Regular Cab I (facelift 2013),13.382,,
RAM,1500,1500 Regular Cab I (facelift 2013),13.542,,
RAM,1500,1500 Regular Cab I (facelift 2013),14.433,,
RAM,1500,1500 Regular Cab I (facelift 2013),14.639,,
RAM,1500,1500 Regular Cab I (facelift 2013),14.363,,
RAM,1500,1500 Regular Cab I (facelift 2013),14.502,,
Renault Samsung,SM5,SM5 II,16.809,,
Renault,12,12 Variable,not known,,
Renault,12,12 Variable,17.5 sec ,not known,
Renault,12,12 Variable,not known,,
Land Rover,Range Rover Sport,Range Rover Sport II,4.7 sec ,12.232,
Land Rover,Range Rover Sport,Range Rover Sport II,5.3 sec ,12.516,
Land Rover,Range Rover Sport,Range Rover Sport II,6.9 sec ,14.571,
Land Rover,Range Rover Sport,Range Rover Sport II,7.2 sec ,14.002,
Land Rover,Range Rover Sport,Range Rover Sport II,7.2 sec ,14.639,
Land Rover,Range Rover Sport,Range Rover Sport II,7.6 sec ,15.288,
Renault,Vel Satis,Vel Satis,8.3 sec ,14.571,
Renault,Vel Satis,Vel Satis,8.3 sec ,14.571,
Renault,Vel Satis,Vel Satis,10.4 sec ,16.112,
Renault,Vel Satis,Vel Satis,10.5 sec ,16.224,
Renault,Vel Satis,Vel Satis,10.9 sec ,16.911,
Renault,Vel Satis,Vel Satis,17.405,,
Renault,Vel Satis,Vel Satis,13.5 sec ,18.444,
Renault,Vel Satis,Vel Satis,10.2 sec ,16.387,
Renault,Vel Satis,Vel Satis,9.6 sec ,16.387,
Renault,Vel Satis,Vel Satis,10 sec ,16.224,
Renault,Vel Satis,Vel Satis,9.4 sec ,16.112,
Renault,Vel Satis,Vel Satis,9.5 sec ,16.056,
Renault,Vel Satis,Vel Satis,10.3 sec ,16.911,
Land Rover,Range Rover,Range Rover III (facelift 2009),6.2 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),6.2 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),7.6 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),7.8 sec ,not known,
Land Rover,Range Rover,Range Rover III (facelift 2009),9.2 sec ,not known,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),4.5 sec ,12.034,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.7 sec ,13.852,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.3 sec ,12.423,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.3 sec ,12.423,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.9 sec ,14.639,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.2 sec ,14.148,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.2 sec ,14.148,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.571,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.571,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.9 sec ,15.592,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.9 sec ,13.382,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),5.9 sec ,13.382,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.6 sec ,13.852,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.6 sec ,13.852,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),6.9 sec ,14.002,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.707,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.707,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.5 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.5 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.3 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),8.3 sec ,15.652,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Land Rover,Range Rover Sport,Range Rover Sport II (facelift 2017),7.3 sec ,14.433,
Renault,Espace,Espace I (J11/13),13.3 sec ,18.315,
Renault,Espace,Espace I (J11/13),11.3 sec ,16.809,
Renault,15,15,not known,,
Renault,15,15,not known,,
Renault,Espace,"Grand Espace IV (Phase IV, 2012)",9.7 sec ,16.548,
Renault,Espace,"Grand Espace IV (Phase IV, 2012)",11.1 sec ,17.012,
Renault,Espace,"Grand Espace IV (Phase IV, 2012)",9.8 sec ,16.962,
Renault,Espace,"Grand Espace IV (Phase IV, 2012)",12.4 sec ,17.871,
Renault,Espace,"Grand Espace IV (Phase IV, 2012)",10.6 sec ,17.78,
Renault,Espace,"Grand Espace IV (Phase IV, 2012)",12 sec ,18.655,
Renault Samsung,SM5,SM5 I,15.411,,
Renault Samsung,SM5,SM5 I,16.387,,
Renault Samsung,SM5,SM5 I,16.333,,
Renault Samsung,SM5,SM5 I,16.333,,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,6.9 sec ,14.075,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,6.5 sec ,13.699,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,5.5 sec ,12.608,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,5.5 sec ,12.699,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,7.2 sec ,14.905,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,7.5 sec ,14.905,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,7.8 sec ,14.002,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,7.8 sec ,14.502,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,8.3 sec ,15.943,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,8 sec ,15.592,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,8.1 sec ,16.112,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,7.1 sec ,14.221,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,7.2 sec ,14.502,
Land Rover,Range Rover,Range Rover IV (facelift 2017) Long,7.8 sec ,15.225,
Rolls-Royce,Dawn,Dawn,4.9 sec ,12.328,
Rolls-Royce,Dawn,Dawn,5 sec ,12.516,
Renault,30,30 (127),not known,,
Renault,30,30 (127),not known,,
Renault,30,30 (127),not known,,
Renault,30,30 (127),10.6 sec ,not known,
Renault,30,30 (127),17.0 sec ,not known,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),12.5 sec ,17.547,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),16.168,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,9,9 (L42),not known,,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",5.8 sec ,12.788,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",6 sec ,13.049,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",6 sec ,13.134,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",6.8 sec ,13.776,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",8.8 sec ,15.532,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",9.8 sec ,16.441,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",9.8 sec ,16.441,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",10.5 sec ,16.86,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",12.1 sec ,16.86,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",10.8 sec ,16.86,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",11.7 sec ,16.86,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",12.3 sec ,17.688,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",9.7 sec ,15.828,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",9.7 sec ,15.828,
Renault,Megane,"Megane III Coupe (Phase III, 2014)",10.9 sec ,16.601,
Renault,Clio,Clio II (Phase I) 3-door,7.3 sec ,13.852,
Renault,Clio,Clio II (Phase I) 3-door,12.8 sec ,17.594,
Renault,Clio,Clio II (Phase I) 3-door,15.4 sec ,18.779,
Renault,Clio,Clio II (Phase I) 3-door,10.5 sec ,15.943,
Renault,Clio,Clio II (Phase I) 3-door,9.6 sec ,15.943,
Renault,Clio,Clio II (Phase I) 3-door,12.9 sec ,16.809,
Renault,Clio,Clio II (Phase I) 3-door,10.6 sec ,16.706,
Renault,Clio,Clio II (Phase I) 3-door,12.9 sec ,16.495,
Renault,Clio,Clio II (Phase I) 3-door,10.5 sec ,16.333,
Renault,Clio,Clio II (Phase I) 3-door,14.1 sec ,17.78,
Renault,Clio,Clio II (Phase I) 3-door,12.1 sec ,17.594,
Renault,Clio,Clio II (Phase I) 3-door,15 sec ,18.779,
Renault,19,19 I (B/C53),not known,,
Renault,19,19 I (B/C53),not known,,
Renault,19,19 I (B/C53),not known,,
Renault,19,19 I (B/C53),not known,,
Renault,19,19 I (B/C53),not known,,
Renault,19,19 I (B/C53),19.261,,
Renault,Dauphine,Dauphine,20.982,,
Renault,Twingo,Twingo III,10.4 sec ,15.943,
Renault,Twingo,Twingo III,9.6 sec ,15.828,
Renault,Twingo,Twingo III,14.5 sec ,18.007,
Renault,Twingo,Twingo III,14.5 sec ,18.007,
Renault,Twingo,Twingo III,10.8 sec ,17.012,
Renault,Scenic,Scenic III (Phase I),9.1 sec ,16.056,
Renault,Scenic,Scenic III (Phase I),9.7 sec ,16.495,
Renault,Scenic,Scenic III (Phase I),10.6 sec ,16.441,
Renault,Scenic,Scenic III (Phase I),11.5 sec ,16.86,
Renault,Scenic,Scenic III (Phase I),10.3 sec ,16.86,
Renault,Scenic,Scenic III (Phase I),11.7 sec ,17.357,
Renault,Scenic,Scenic III (Phase I),11.7 sec ,17.357,
Renault,Scenic,Scenic III (Phase I),13.4 sec ,17.826,
