Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Saab,96,96,18.14,,
Saab,96,96,18.007,,
Saab,96,96,18.613,,
Saab,96,96,20.949,,
Saab,09-Mar,9-3 Cabriolet I,10 sec ,15.943,
Saab,09-Mar,9-3 Cabriolet I,6.8 sec ,14.075,
Saab,09-Mar,9-3 Cabriolet I,11 sec ,16.706,
Saab,09-Mar,9-3 Cabriolet I,7.3 sec ,14.363,
Saab,09-Mar,9-3 Cabriolet I,8 sec ,14.905,
Suzuki,Kei,Kei (HN),17.357,,
Suzuki,Kei,Kei (HN),18.14,,
Suzuki,Kei,Kei (HN),18.14,,
Subaru,BRZ,BRZ II,13.542,,
Subaru,BRZ,BRZ II,13.463,,
Subaru,Justy,Justy IV,13.9 sec ,17.688,
Seat,Altea,Altea XL,10 sec ,16.706,
Seat,Altea,Altea XL,10 sec ,16.601,
Seat,Altea,Altea XL,10.1 sec ,15.828,
Seat,Altea,Altea XL,12.6 sec ,18.184,
Seat,Altea,Altea XL,8.6 sec ,15.472,
Seat,Altea,Altea XL,12.6 sec ,18.401,
Seat,Altea,Altea XL,12.4 sec ,18.315,
Seat,Altea,Altea XL,13 sec ,17.962,
Seat,Altea,Altea XL,10.5 sec ,16.809,
Seat,Altea,Altea XL,15.4 sec ,19.183,
Suzuki,XL7,XL7 I,10 sec ,16,
Suzuki,XL7,XL7 I,10 sec ,16,
Subaru,Bistro,Bistro,not known,,
Seat,Leon,Leon III ST,6 sec ,12.699,
Seat,Leon,Leon III ST,5.9 sec ,12.788,
Seat,Leon,Leon III ST,6.1 sec ,13.049,
Seat,Leon,Leon III ST,6 sec ,13.134,
Seat,Leon,Leon III ST,6.2 sec ,13.301,
Seat,Leon,Leon III ST,6.1 sec ,13.382,
Seat,Leon,Leon III ST,7.8 sec ,15.035,
Seat,Leon,Leon III ST,7.8 sec ,14.97,
Seat,Leon,Leon III ST,8.6 sec ,15.885,
Seat,Leon,Leon III ST,8.6 sec ,15.885,
Seat,Leon,Leon III ST,8.7 sec ,16.224,
Seat,Leon,Leon III ST,8.7 sec ,16.224,
Seat,Leon,Leon III ST,8.6 sec ,15.769,
Seat,Leon,Leon III ST,8.6 sec ,15.769,
Seat,Leon,Leon III ST,7.7 sec ,14.905,
Seat,Leon,Leon III ST,7.8 sec ,14.84,
Seat,Leon,Leon III ST,10.6 sec ,17.162,
Seat,Leon,Leon III ST,11 sec ,17.78,
Seat,Leon,Leon III ST,12 sec ,18.228,
Seat,Leon,Leon III ST,11.1 sec ,17.688,
Seat,Leon,Leon III ST,13 sec ,18.571,
Seat,Leon,Leon III ST,8.1 sec ,not known,
Seat,Leon,Leon III ST,8.1 sec ,15.472,
Seat,Leon,Leon III ST,9.6 sec ,16.441,
Seat,Leon,Leon III ST,10.3 sec ,17.162,
Seat,Leon,Leon III ST,10.3 sec ,17.062,
Seat,Leon,Leon III ST,12.1 sec ,18.401,
Subaru,WRX,WRX (VB) II,13.542,,
Subaru,WRX,WRX (VB) II,13.382,,
Suzuki,Every Landy,Every Landy,17.405,,
Suzuki,Swift,Swift VI (facelift 2020),9.1 sec ,15.099,
Suzuki,Swift,Swift VI (facelift 2020),12.2 sec ,16.911,
Suzuki,Swift,Swift VI (facelift 2020),13.8 sec ,17.211,
Suzuki,Swift,Swift VI (facelift 2020),13.1 sec ,16.548,
Saab,95,95,not known,,
Saab,95,95,18.655,,
Saab,95,95,18.529,,
Saab,95,95,21.807,,
Suzuki,Forenza,Forenza,not known,,
Suzuki,Forenza,Forenza,not known,,
Suzuki,Forenza,Forenza,16.548,,
Suzuki,Forenza,Forenza,16.548,,
Smart,EQ fortwo,"EQ fortwo (C453, facelift 2019)",11.6 sec ,not known,
Seat,Toledo,Toledo  IV (NH),10 sec ,16.911,
Seat,Toledo,Toledo  IV (NH),10.4 sec ,17.357,
Seat,Toledo,Toledo  IV (NH),10.4 sec ,17.357,
Seat,Toledo,Toledo  IV (NH),12.2 sec ,18.401,
Seat,Toledo,Toledo  IV (NH),12 sec ,18.315,
Seat,Toledo,Toledo  IV (NH),9 sec ,16.224,
Seat,Toledo,Toledo  IV (NH),9.5 sec ,16.387,
Seat,Toledo,Toledo  IV (NH),11.8 sec ,17.871,
Seat,Toledo,Toledo  IV (NH),11.7 sec ,17.78,
Seat,Toledo,Toledo  IV (NH),9.8 sec ,16.706,
Seat,Toledo,Toledo  IV (NH),10.3 sec ,16.962,
Seat,Toledo,Toledo  IV (NH),11.3 sec ,17.734,
Seat,Toledo,Toledo  IV (NH),11.8 sec ,18.096,
Seat,Toledo,Toledo  IV (NH),13.9 sec ,18.738,
Seat,Toledo,Toledo  IV (NH),9.8 sec ,16.387,
Seat,Toledo,Toledo  IV (NH),11 sec ,17.112,
Saab,99,99,17.162,,
Saab,99,99,16.224,,
Saab,99,99,12 sec ,16.653,
Saab,99,99,17.405,,
Saab,99,99,17.641,,
Saab,99,99,17.062,,
Subaru,Forester,Forester IV,9.9 sec ,15.532,
Subaru,Forester,Forester IV,7.5 sec ,14.292,
Subaru,Forester,Forester IV,11.8 sec ,16.333,
Subaru,Forester,Forester IV,10.6 sec ,16.224,
Seat,Marbella,Marbella (28),not known,,
Seat,Marbella,Marbella (28),not known,,
Seat,Marbella,Marbella (28),20 sec ,19.493,
Seat,Marbella,Marbella (28),27.5 sec ,20.578,
Seat,Toledo,"Toledo I (1L, facelift 1995)",11.2 sec ,16.653,
Seat,Toledo,"Toledo I (1L, facelift 1995)",12.7 sec ,17.357,
Seat,Toledo,"Toledo I (1L, facelift 1995)",12.7 sec ,17.357,
Seat,Toledo,"Toledo I (1L, facelift 1995)",10.5 sec ,16.224,
Seat,Toledo,"Toledo I (1L, facelift 1995)",10.5 sec ,16.224,
Seat,Toledo,"Toledo I (1L, facelift 1995)",11.3 sec ,16.758,
Seat,Toledo,"Toledo I (1L, facelift 1995)",13.5 sec ,17.062,
Seat,Toledo,"Toledo I (1L, facelift 1995)",11.5 sec ,17.062,
Seat,Ibiza,Ibiza IV (facelift 2015),9.9 sec ,16.495,
Seat,Ibiza,Ibiza IV (facelift 2015),10.9 sec ,17.405,
Seat,Ibiza,Ibiza IV (facelift 2015),10.9 sec ,17.357,
Seat,Ibiza,Ibiza IV (facelift 2015),13 sec ,18.444,
Seat,Ibiza,Ibiza IV (facelift 2015),7.6 sec ,14.571,
Seat,Ibiza,Ibiza IV (facelift 2015),10.7 sec ,17.012,
Seat,Ibiza,Ibiza IV (facelift 2015),9.3 sec ,16.168,
Seat,Ibiza,Ibiza IV (facelift 2015),9.2 sec ,16,
Seat,Ibiza,Ibiza IV (facelift 2015),10.4 sec ,16.706,
Seat,Ibiza,Ibiza IV (facelift 2015),14.3 sec ,17.826,
Seat,Ibiza,Ibiza III,10.1 sec ,16.224,
Seat,Ibiza,Ibiza III,9.4 sec ,15.885,
Seat,Ibiza,Ibiza III,8.4 sec ,15.099,
Seat,Ibiza,Ibiza III,7.3 sec ,14.148,
Seat,Ibiza,Ibiza III,7.6 sec ,15.035,
Seat,Ibiza,Ibiza III,8.9 sec ,17.012,
Seat,Ibiza,Ibiza III,17 sec ,19.493,
Seat,Ibiza,Ibiza III,13.6 sec ,18.529,
Seat,Ibiza,Ibiza III,11.2 sec ,16.601,
Seat,Ibiza,Ibiza III,15.6 sec ,18.184,
Seat,Ibiza,Ibiza III,13.2 sec ,18.184,
Seat,Ibiza,Ibiza III,14.9 sec ,19.063,
Seat,Ibiza,Ibiza III,17.9 sec ,20.123,
Subaru,Justy,"Justy III (NH, G3X)",11 sec ,16.441,
Subaru,Justy,"Justy III (NH, G3X)",11.7 sec ,16.706,
Suzuki,SX4 S-Cross,SX4 I Sedan,15.162,,
Suzuki,SX4 S-Cross,SX4 I Sedan,12.3 sec ,15.225,
Suzuki,SX4 S-Cross,SX4 I Sedan,10.7 sec ,15.225,
Suzuki,SX4 S-Cross,SX4 I Sedan,12.3 sec ,16.809,
Suzuki,SX4 S-Cross,SX4 I Sedan,16.809,,
Saab,09-May,9-5 Sport Combi,8.7 sec ,15.35,
Saab,09-May,9-5 Sport Combi,8.5 sec ,14.363,
Saab,09-May,9-5 Sport Combi,7.2 sec ,14.363,
Saab,09-May,9-5 Sport Combi,10.5 sec ,15.769,
