Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Skoda,Felicia,Felicia II,16 sec ,19.063,
Skoda,Felicia,Felicia II,12 sec ,17.78,
Skoda,Felicia,Felicia II,13.5 sec ,18.655,
Skoda,Felicia,Felicia II,15 sec ,19.143,
Skoda,Felicia,Felicia II,15.5 sec ,19.607,
Skoda,Fabia,Fabia II Combi (facelift 2010),7.3 sec ,not known,
Skoda,Fabia,Fabia II Combi (facelift 2010),11 sec ,17.26,
Skoda,Fabia,Fabia II Combi (facelift 2010),12.7 sec ,18.096,
Skoda,Fabia,Fabia II Combi (facelift 2010),14.2 sec ,19.222,
Skoda,Fabia,Fabia II Combi (facelift 2010),12.3 sec ,17.871,
Skoda,Fabia,Fabia II Combi (facelift 2010),10.3 sec ,17.012,
Skoda,Fabia,Fabia II Combi (facelift 2010),10.2 sec ,16.86,
Skoda,Fabia,Fabia II Combi (facelift 2010),11.8 sec ,17.917,
Skoda,Fabia,Fabia II Combi (facelift 2010),14.3 sec ,19.143,
Skoda,Fabia,Fabia II Combi (facelift 2010),15 sec ,19.063,
Skoda,Fabia,Fabia II Combi (facelift 2010),16.7 sec ,20.087,
Skoda,Felicia,Felicia I (791),16.5 sec ,19.063,
Skoda,Felicia,Felicia I (791),12 sec ,17.78,
Skoda,Felicia,Felicia I (791),13.5 sec ,18.184,
Skoda,Felicia,Felicia I (791),15 sec ,19.143,
Skoda,Felicia,Felicia I (791),17 sec ,19.339,
Skoda,Roomster,Roomster,11.5 sec ,17.452,
Skoda,Roomster,Roomster,12.1 sec ,16.962,
Skoda,Roomster,Roomster,10.9 sec ,16.962,
Skoda,Roomster,Roomster,14.7 sec ,18.943,
Skoda,Roomster,Roomster,16.5 sec ,19.607,
Skoda,Roomster,Roomster,13 sec ,18.007,
Skoda,Roomster,Roomster,16.9 sec ,19.868,
Skoda,Superb,Superb III Scout (facelift 2019),5.7 sec ,13.699,
Skoda,Superb,Superb III Scout (facelift 2019),7.3 sec ,15.162,
Skoda,Superb,Superb III Scout (facelift 2019),8.1 sec ,15.472,
Skoda,Octavia,Octavia III Scout (facelift 2017),7.8 sec ,15.225,
Skoda,Octavia,Octavia III Scout (facelift 2017),9.3 sec ,16.279,
Skoda,Octavia,Octavia III Scout (facelift 2017),9.1 sec ,16.168,
Skoda,Octavia,Octavia III Scout (facelift 2017),7.5 sec ,14.905,
Skoda,Octavia,Octavia III Combi (facelift 2017),6.7 sec ,13.621,
Skoda,Octavia,Octavia III Combi (facelift 2017),6.7 sec ,13.542,
Skoda,Octavia,Octavia III Combi (facelift 2017),7 sec ,13.776,
Skoda,Octavia,Octavia III Combi (facelift 2017),6.8 sec ,13.699,
Skoda,Octavia,Octavia III Combi (facelift 2017),8 sec ,14.97,
Skoda,Octavia,Octavia III Combi (facelift 2017),7.7 sec ,15.225,
Skoda,Octavia,Octavia III Combi (facelift 2017),8 sec ,14.905,
Skoda,Octavia,Octavia III Combi (facelift 2017),7.4 sec ,14.773,
Skoda,Octavia,Octavia III Combi (facelift 2017),6.8 sec ,15.099,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.4 sec ,16,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.6 sec ,15.592,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.6 sec ,15.885,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.5 sec ,15.472,
Skoda,Octavia,Octavia III Combi (facelift 2017),9.3 sec ,16.112,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.8 sec ,16.056,
Skoda,Octavia,Octavia III Combi (facelift 2017),7.5 sec ,14.571,
Skoda,Octavia,Octavia III Combi (facelift 2017),7.4 sec ,14.502,
Skoda,Octavia,Octavia III Combi (facelift 2017),10.3 sec ,16.809,
Skoda,Octavia,Octavia III Combi (facelift 2017),11.9 sec ,17.734,
Skoda,Octavia,Octavia III Combi (facelift 2017),10.2 sec ,16.758,
Skoda,Octavia,Octavia III Combi (facelift 2017),12.3 sec ,18.228,
Skoda,Octavia,Octavia III Combi (facelift 2017),12.2 sec ,17.211,
Skoda,Octavia,Octavia III Combi (facelift 2017),10.9 sec ,17.012,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.4 sec ,15.652,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.4 sec ,15.592,
Skoda,Octavia,Octavia III Combi (facelift 2017),10.1 sec ,16.387,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.4 sec ,15.225,
Skoda,Octavia,Octavia III Combi (facelift 2017),8.2 sec ,15.162,
Skoda,Octavia,Octavia III Combi (facelift 2017),11.1 sec ,17.547,
Skoda,Octavia,Octavia III Combi (facelift 2017),11 sec ,17.452,
Skoda,Octavia,Octavia III Combi (facelift 2017),12.2 sec ,18.096,
Skoda,Octavia,Octavia III Combi (facelift 2017),10.1 sec ,16.387,
Skoda,Octavia,Octavia III Combi (facelift 2017),10.1 sec ,16.387,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",9.9 sec ,16.168,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",11.5 sec ,17.012,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",17.9 sec ,19.72,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",13.8 sec ,18.315,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",15.6 sec ,19.183,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",17 sec ,18.529,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",13.8 sec ,18.315,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",11.5 sec ,16.601,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",15.9 sec ,19.3,
Skoda,Fabia,"Fabia I (6Y, facelift 2004)",18.4 sec ,20.23,
Skoda,"105,120","105,120 (742)",not known,,
Skoda,"105,120","105,120 (742)",not known,,
Skoda,"105,120","105,120 (742)",not known,,
Skoda,"105,120","105,120 (742)",not known,,
Skoda,Yeti,Yeti (facelift 2013),8.6 sec ,15.885,
Skoda,Yeti,Yeti (facelift 2013),8.4 sec ,15.828,
Skoda,Yeti,Yeti (facelift 2013),9.2 sec ,16.387,
Skoda,Yeti,Yeti (facelift 2013),8.9 sec ,16.279,
Skoda,Yeti,Yeti (facelift 2013),9 sec ,16,
Skoda,Yeti,Yeti (facelift 2013),10.2 sec ,16.911,
Skoda,Yeti,Yeti (facelift 2013),9.9 sec ,16.86,
Skoda,Yeti,Yeti (facelift 2013),9.7 sec ,16.601,
Skoda,Yeti,Yeti (facelift 2013),11.7 sec ,17.594,
Skoda,Yeti,Yeti (facelift 2013),11.9 sec ,18.007,
Skoda,Yeti,Yeti (facelift 2013),12.2 sec ,18.228,
Skoda,Yeti,Yeti (facelift 2013),11.6 sec ,17.78,
Skoda,Yeti,Yeti (facelift 2013),8.4 sec ,16,
Skoda,Yeti,Yeti (facelift 2013),8.9 sec ,16.056,
Skoda,Yeti,Yeti (facelift 2013),8.7 sec ,15.943,
Skoda,Yeti,Yeti (facelift 2013),10.1 sec ,16.548,
Skoda,Yeti,Yeti (facelift 2013),9.9 sec ,16.441,
Skoda,Yeti,Yeti (facelift 2013),10.6 sec ,17.162,
Skoda,Yeti,Yeti (facelift 2013),10.6 sec ,17.062,
Skoda,Yeti,Yeti (facelift 2013),11.4 sec ,17.211,
Skoda,Yeti,Yeti (facelift 2013),10.9 sec ,17.112,
Skoda,Yeti,Yeti (facelift 2013),11.7 sec ,17.78,
Skoda,Yeti,Yeti (facelift 2013),11.4 sec ,17.688,
Skoda,Karoq,Karoq,7.3 sec ,15.035,
Skoda,Karoq,Karoq,7.3 sec ,15.288,
Skoda,Karoq,Karoq,7.4 sec ,15.472,
Skoda,Karoq,Karoq,9.3 sec ,16.387,
Skoda,Karoq,Karoq,8.7 sec ,16.279,
Skoda,Karoq,Karoq,9.1 sec ,16.441,
Skoda,Karoq,Karoq,11 sec ,17.405,
Skoda,Karoq,Karoq,10.6 sec ,17.405,
Skoda,Karoq,Karoq,10.9 sec ,17.26,
Skoda,Karoq,Karoq,10.7 sec ,17.162,
Skoda,Karoq,Karoq,8.6 sec ,15.652,
Skoda,Karoq,Karoq,8.4 sec ,15.592,
Skoda,Karoq,Karoq,10.7 sec ,16.911,
Skoda,Karoq,Karoq,10.6 sec ,16.809,
Skoda,Karoq,Karoq,11.1 sec ,17.112,
Skoda,Superb,Superb II (facelift 2013),6.4 sec ,14.221,
Skoda,Superb,Superb II (facelift 2013),7.7 sec ,14.97,
Skoda,Superb,Superb II (facelift 2013),8.6 sec ,15.885,
Skoda,Superb,Superb II (facelift 2013),8.6 sec ,15.828,
Skoda,Superb,Superb II (facelift 2013),8.7 sec ,16.112,
Skoda,Superb,Superb II (facelift 2013),10.1 sec ,17.112,
Skoda,Superb,Superb II (facelift 2013),10 sec ,16.809,
Skoda,Superb,Superb II (facelift 2013),10.3 sec ,16.911,
Skoda,Superb,Superb II (facelift 2013),8.4 sec ,16,
Skoda,Superb,Superb II (facelift 2013),8.4 sec ,16.279,
Skoda,Superb,Superb II (facelift 2013),8.2 sec ,16,
Skoda,Superb,Superb II (facelift 2013),12.1 sec ,18.444,
Skoda,Superb,Superb II (facelift 2013),10.5 sec ,17.211,
Skoda,Superb,Superb II,6.5 sec ,14.075,
Skoda,Superb,Superb II,7.8 sec ,15.099,
Skoda,Superb,Superb II,9 sec ,15.652,
Skoda,Superb,Superb II,9 sec ,15.652,
Skoda,Superb,Superb II,8.8 sec ,15.652,
Skoda,Superb,Superb II,8.8 sec ,16,
Skoda,Superb,Superb II,10.1 sec ,16.911,
Skoda,Superb,Superb II,10.1 sec ,16.911,
Skoda,Superb,Superb II,12.5 sec ,18.444,
Skoda,Superb,Superb II,8.5 sec ,15.828,
Skoda,Superb,Superb II,8.5 sec ,15.828,
Skoda,Superb,Superb II,8.6 sec ,15.828,
Skoda,Superb,Superb II,12.5 sec ,18.571,
Skoda,Superb,Superb II,10.5 sec ,17.062,
Skoda,Rapid,Rapid II (Russia),11.8 sec ,16.962,
Skoda,Rapid,Rapid II (Russia),10.7 sec ,16.86,
Skoda,Rapid,Rapid II (Russia),11.4 sec ,17.962,
Skoda,Rapid,Rapid II (Russia),9.2 sec ,16.333,
Skoda,Superb,Superb III Combi,5.8 sec ,13.463,
Skoda,Superb,Superb III Combi,5.6 sec ,not known,
Skoda,Superb,Superb III Combi,7.1 sec ,14.221,
Skoda,Superb,Superb III Combi,8.1 sec ,15.472,
Skoda,Superb,Superb III Combi,8.4 sec ,15.225,
Skoda,Superb,Superb III Combi,7.7 sec ,15.288,
Skoda,Superb,Superb III Combi,7.8 sec ,15.099,
Skoda,Superb,Superb III Combi,8.1 sec ,14.905,
Skoda,Superb,Superb III Combi,9.1 sec ,16.112,
Skoda,Superb,Superb III Combi,9.1 sec ,16.495,
Skoda,Superb,Superb III Combi,8.9 sec ,16.056,
Skoda,Superb,Superb III Combi,8.2 sec ,15.099,
Skoda,Superb,Superb III Combi,8.1 sec ,15.035,
Skoda,Superb,Superb III Combi,11.1 sec ,17.308,
Skoda,Superb,Superb III Combi,11 sec ,17.26,
Skoda,Superb,Superb III Combi,9 sec ,not known,
Skoda,Superb,Superb III Combi,8.8 sec ,not known,
Skoda,Superb,Superb III Combi,8.9 sec ,15.828,
Skoda,Superb,Superb III Combi,9.1 sec ,16.168,
Skoda,Superb,Superb III Combi,8.7 sec ,15.711,
Skoda,Superb,Superb III Combi,10 sec ,16.653,
Skoda,Octavia,Octavia II Combi (facelift 2009),9.7 sec ,16.495,
Skoda,Octavia,Octavia II Combi (facelift 2009),9.9 sec ,16.809,
Skoda,Octavia,Octavia II Combi (facelift 2009),9.7 sec ,16.441,
Skoda,Octavia,Octavia II Combi (facelift 2009),12.3 sec ,18.096,
Skoda,Octavia,Octavia II Combi (facelift 2009),12.9 sec ,18.444,
Skoda,Octavia,Octavia II Combi (facelift 2009),11.9 sec ,17.962,
Skoda,Octavia,Octavia II Combi (facelift 2009),7.9 sec ,15.652,
Skoda,Octavia,Octavia II Combi (facelift 2009),8.1 sec ,16,
Skoda,Octavia,Octavia II Combi (facelift 2009),7.9 sec ,15.592,
Skoda,Octavia,Octavia II Combi (facelift 2009),11.4 sec ,17.826,
Skoda,Octavia,Octavia II Combi (facelift 2009),14.2 sec ,17.962,
Skoda,Octavia,Octavia II Combi (facelift 2009),12.4 sec ,17.826,
Skoda,Octavia,Octavia II Combi (facelift 2009),9.8 sec ,17.062,
Skoda,Octavia,Octavia II Combi (facelift 2009),9.8 sec ,16.911,
Skoda,Octavia,Octavia II Combi (facelift 2009),14.3 sec ,19.222,
Skoda,Octavia,Octavia II Combi (facelift 2009),10.9 sec ,17.452,
Skoda,Fabia,Fabia III Combi,10.2 sec ,17.012,
Skoda,Fabia,Fabia III Combi,11.3 sec ,18.007,
Skoda,Fabia,Fabia III Combi,11.3 sec ,17.871,
Skoda,Fabia,Fabia III Combi,9.6 sec ,16.706,
Skoda,Fabia,Fabia III Combi,9.6 sec ,16.601,
Skoda,Fabia,Fabia III Combi,11 sec ,17.641,
Skoda,Fabia,Fabia III Combi,9.9 sec ,16.387,
Skoda,Fabia,Fabia III Combi,9.6 sec ,16.224,
Skoda,Fabia,Fabia III Combi,10.8 sec ,16.911,
Skoda,Fabia,Fabia III Combi,14.9 sec ,18.444,
Skoda,Kodiaq,Kodiaq (facelift 2021),14.502,,
Skoda,Kodiaq,Kodiaq (facelift 2021),15.592,,
Skoda,Kodiaq,Kodiaq (facelift 2021),15.472,,
Skoda,Kodiaq,Kodiaq (facelift 2021),16.809,,
Skoda,Kodiaq,Kodiaq (facelift 2021),17.062,,
Skoda,Kodiaq,Kodiaq (facelift 2021),9.8 sec ,16.441,
Skoda,Kodiaq,Kodiaq (facelift 2021),9.8 sec ,16.333,
Skoda,Octavia,Octavia IV Combi,6.7 sec ,13.776,
Skoda,Octavia,Octavia IV Combi,6.8 sec ,13.621,
Skoda,Octavia,Octavia IV Combi,7.3 sec ,14.292,
Skoda,Octavia,Octavia IV Combi,7.5 sec ,14.905,
Skoda,Octavia,Octavia IV Combi,not known,,
Skoda,Octavia,Octavia IV Combi,not known,,
Skoda,Octavia,Octavia IV Combi,8.8 sec ,16,
Skoda,Octavia,Octavia IV Combi,not known,,
Skoda,Octavia,Octavia IV Combi,8.9 sec ,not known,
Skoda,Octavia,Octavia IV Combi,not known,,
Skoda,Octavia,Octavia IV Combi,10.4 sec ,17.26,
Skoda,Octavia,Octavia IV Combi,not known,,
Skoda,Octavia,Octavia IV Combi,8.3 sec ,15.532,
Skoda,Octavia,Octavia IV Combi,not known,,
Skoda,Octavia,Octavia IV Combi,not known,,
Skoda,Octavia,Octavia IV Combi,10.6 sec ,not known,
Skoda,Octavia,Octavia IV Combi,10.9 sec ,17.012,
Skoda,Rapid,Rapid Spaceback,9.9 sec ,16.601,
Skoda,Rapid,Rapid Spaceback,10.3 sec ,17.357,
Skoda,Rapid,Rapid Spaceback,10.3 sec ,17.357,
Skoda,Rapid,Rapid Spaceback,11.9 sec ,18.272,
Skoda,Rapid,Rapid Spaceback,11.9 sec ,18.272,
Skoda,Rapid,Rapid Spaceback,12.1 sec ,18.358,
Skoda,Rapid,Rapid Spaceback,11.9 sec ,18.272,
Skoda,Rapid,Rapid Spaceback,8.9 sec ,15.885,
Skoda,Rapid,Rapid Spaceback,9.4 sec ,16.333,
Skoda,Rapid,Rapid Spaceback,9.4 sec ,16.333,
Skoda,Rapid,Rapid Spaceback,11.7 sec ,17.871,
Skoda,Rapid,Rapid Spaceback,11.6 sec ,17.734,
Skoda,Rapid,Rapid Spaceback,9.7 sec ,16.333,
Skoda,Rapid,Rapid Spaceback,10.2 sec ,16.911,
Skoda,Rapid,Rapid Spaceback,10.2 sec ,16.911,
Skoda,Rapid,Rapid Spaceback,11.3 sec ,17.547,
Skoda,Rapid,Rapid Spaceback,11.2 sec ,17.405,
Skoda,Rapid,Rapid Spaceback,11.7 sec ,18.007,
Skoda,Rapid,Rapid Spaceback,11.7 sec ,18.007,
Skoda,130,130,not known,,
Skoda,130,130,not known,,
Skoda,130,130,not known,,
Skoda,130,130,not known,,
Skoda,Roomster,Roomster (facelift 2010),11.5 sec ,17.641,
Skoda,Roomster,Roomster (facelift 2010),13.3 sec ,18.571,
Skoda,Roomster,Roomster (facelift 2010),13 sec ,18.315,
Skoda,Roomster,Roomster (facelift 2010),11 sec ,17.405,
Skoda,Roomster,Roomster (facelift 2010),10.9 sec ,17.26,
Skoda,Roomster,Roomster (facelift 2010),12.6 sec ,18.358,
Skoda,Roomster,Roomster (facelift 2010),15.5 sec ,19.645,
Skoda,Roomster,Roomster (facelift 2010),15.9 sec ,19.531,
Skoda,Karoq,Karoq Scout,7.4 sec ,15.162,
Skoda,Karoq,Karoq Scout,9.2 sec ,16.387,
Skoda,Karoq,Karoq Scout,8.9 sec ,16.548,
Skoda,Slavia,Slavia,not known,,
Skoda,Slavia,Slavia,not known,,
Skoda,Slavia,Slavia,not known,,
Skoda,Slavia,Slavia,not known,,
Skoda,Superb,Superb I (facelift 2006),9.4 sec ,14.905,
Skoda,Superb,Superb I (facelift 2006),8 sec ,14.773,
Skoda,Superb,Superb I (facelift 2006),9.8 sec ,15.035,
Skoda,Superb,Superb I (facelift 2006),9.2 sec ,15.885,
Skoda,Superb,Superb I (facelift 2006),9.9 sec ,16.495,
Skoda,Superb,Superb I (facelift 2006),11.6 sec ,17.162,
Skoda,Superb,Superb I (facelift 2006),10.4 sec ,16.706,
Skoda,Superb,Superb I (facelift 2006),11.7 sec ,17.405,
Skoda,Superb,Superb I (facelift 2006),12.3 sec ,17.917,
Skoda,Superb,Superb I (facelift 2006),10.9 sec ,16,
Skoda,Superb,Superb I (facelift 2006),9.5 sec ,15.828,
Skoda,Kamiq,Kamiq,10.4 sec ,16.962,
Skoda,Kamiq,Kamiq,10.2 sec ,16.86,
Skoda,Kamiq,Kamiq,13.8 sec ,17.308,
Skoda,Kamiq,Kamiq,12.8 sec ,17.112,
Skoda,Kamiq,Kamiq,not known,,
Skoda,Kamiq,Kamiq,not known,,
Skoda,Kamiq,Kamiq,10 sec ,16.441,
Skoda,Kamiq,Kamiq,9.9 sec ,16.387,
Skoda,Kamiq,Kamiq,11.1 sec ,17.357,
Skoda,Kamiq,Kamiq,not known,,
Skoda,Favorit,Favorit Forman (785),16 sec ,18.052,
Skoda,Favorit,Favorit Forman (785),not known,,
Skoda,Favorit,Favorit Forman (785),not known,,
Skoda,Favorit,Favorit Forman (785),17 sec ,19.493,
Skoda,Rapid,Rapid (2012),10 sec ,16.653,
Skoda,Rapid,Rapid (2012),10.4 sec ,17.357,
Skoda,Rapid,Rapid (2012),9 sec ,15.885,
Skoda,Rapid,Rapid (2012),9.5 sec ,16.387,
Skoda,Rapid,Rapid (2012),11.8 sec ,17.871,
Skoda,Rapid,Rapid (2012),11.7 sec ,17.78,
Skoda,Rapid,Rapid (2012),9.8 sec ,16.387,
Skoda,Rapid,Rapid (2012),10.3 sec ,16.962,
Skoda,Rapid,Rapid (2012),11.4 sec ,17.594,
Skoda,Rapid,Rapid (2012),11.3 sec ,17.405,
Skoda,Rapid,Rapid (2012),11.8 sec ,18.096,
Skoda,Rapid,Rapid (2012),13.9 sec ,18.738,
Skoda,Octavia,Octavia IV Scout,6.8 sec ,15.225,
Skoda,Octavia,Octavia IV Scout,7.0 sec ,15.035,
Skoda,Octavia,Octavia IV Scout,8.5 sec ,16.706,
Skoda,Octavia,Octavia IV Scout,8.7 sec ,16.056,
