Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Tesla,Model S,Model S (facelift 2016),2.5 sec ,11.726,
Tesla,Model S,Model S (facelift 2016),3 sec ,12.134,
Tesla,Model S,Model S (facelift 2016),3.3 sec ,12.699,
Tesla,Model S,Model S (facelift 2016),2.7 sec ,11.726,
Tesla,Model S,Model S (facelift 2016),3.8 sec ,12.134,
Tesla,Model S,Model S (facelift 2016),4.4 sec ,13.134,
Tesla,Model S,Model S (facelift 2016),,14.075,
Tesla,Model S,Model S (facelift 2016),,14.075,
Tesla,Model S,Model S (facelift 2016),5.4 sec ,14.075,
Tesla,Model S,Model S (facelift 2016),5.8 sec ,14.075,
Tesla,Model S,Model S (facelift 2016),4.3 sec ,13.134,
Tesla,Model 3,Model 3,5.6 sec ,12.964,
Tesla,Model 3,Model 3,3.4 sec ,11.619,
Tesla,Model 3,Model 3,5.8 sec ,13.927,
Tesla,Model 3,Model 3,4.6 sec ,11.933,
Tesla,Model 3,Model 3,5.3 sec ,13.852,
Tesla,Model 3,Model 3,5.9 sec ,15.35,
Tesla,Model Y,Model Y,6.9 sec ,15.769,
Tesla,Model Y,Model Y,3.7 sec ,11.726,
Tesla,Model Y,Model Y,,12.328,
Tesla,Model Y,Model Y,5.0 sec ,11.933,
Tesla,Model Y,Model Y,5 sec ,13.463,
Tesla,Model 3,Model 3 (facelift 2020),5.6 sec ,13.049,
Tesla,Model 3,Model 3 (facelift 2020),3.3 sec ,11.83,
Tesla,Model 3,Model 3 (facelift 2020),4.4 sec ,12.134,
Tesla,Model 3,Model 3 (facelift 2020),4.4 sec ,12.423,
Tesla,Model 3,Model 3 (facelift 2020),6.1 sec ,13.301,
Tesla,Model S,Model S,3.3 sec ,12.516,
Tesla,Model S,Model S,3.3 sec ,12.877,
Tesla,Model S,Model S,4.4 sec ,12.964,
Tesla,Model S,Model S,4.4 sec ,13.218,
Tesla,Model S,Model S,5.6 sec ,13.621,
Tesla,Model S,Model S,5.4 sec ,14.148,
Tesla,Model S,Model S,5.8 sec ,14.221,
Tesla,Model S,Model S,6.2 sec ,14.221,
Tesla,Roadster,Roadster I,3.7 sec ,12.232,
Tesla,Roadster,Roadster I,3.9 sec ,12.232,
Tesla,Model S,Model S (facelift 2021),2.1 sec ,9.708,
Tesla,Model S,Model S (facelift 2021),3.2 sec ,11.054,
Tesla,Model X,Model X,2.9 sec ,12.232,
Tesla,Model X,Model X,3.4 sec ,11.172,
Tesla,Model X,Model X,3.1 sec ,12.134,
Tesla,Model X,Model X,4.6 sec ,13.699,
Tesla,Model X,Model X,5 sec ,12.608,
Tesla,Model X,Model X,5.2 sec ,14.571,
Tesla,Model X,Model X,4.9 sec ,13.621,
Tesla,Model X,Model X (facelift 2021),2.6 sec ,10.15,
Tesla,Model X,Model X (facelift 2021),3.9 sec ,11.51,
