Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Volkswagen,Polo,Polo IV Fun,11.5 sec ,17.357,
Volkswagen,Polo,Polo IV Fun,14.7 sec ,18.943,
Volkswagen,Polo,Polo IV Fun,12.1 sec ,16.911,
Volkswagen,Polo,Polo IV Fun,14.3 sec ,18.571,
Volkswagen,Polo,Polo IV Fun,13.5 sec ,17.826,
Volkswagen,Polo,Polo IV Fun,16.5 sec ,19.493,
Volkswagen,Polo,Polo IV Fun,19.3 sec ,20.578,
Volkswagen,Jetta,Jetta IV Wagon,9 sec ,15.828,
Volkswagen,Jetta,Jetta IV Wagon,12.4 sec ,16.962,
Volkswagen,Jetta,Jetta IV Wagon,11 sec ,16.962,
Volkswagen,Jetta,Jetta IV Wagon,9.2 sec ,15.943,
Volkswagen,Jetta,Jetta IV Wagon,10.1 sec ,15.828,
Volkswagen,Jetta,Jetta IV Wagon,9.2 sec ,15.828,
Volkswagen,Polo,Polo VI,4.1 sec ,12.516,
Volkswagen,Polo,Polo VI,6.7 sec ,14.363,
Volkswagen,Polo,Polo VI,6.7 sec ,14.363,
Volkswagen,Polo,Polo VI,6.7 sec ,14.221,
Volkswagen,Polo,Polo VI,11.2 sec ,18.14,
Volkswagen,Polo,Polo VI,11.2 sec ,18.052,
Volkswagen,Polo,Polo VI,12.9 sec ,19.103,
Volkswagen,Polo,Polo VI,8.2 sec ,15.288,
Volkswagen,Polo,Polo VI,9.5 sec ,16.495,
Volkswagen,Polo,Polo VI,9.5 sec ,16.333,
Volkswagen,Polo,Polo VI,9.5 sec ,16.495,
Volkswagen,Polo,Polo VI,9.5 sec ,16.333,
Volkswagen,Polo,Polo VI,10.4 sec ,16.809,
Volkswagen,Polo,Polo VI,9.9 sec ,16.706,
Volkswagen,Polo,Polo VI,10.8 sec ,17.547,
Volkswagen,Polo,Polo VI,10.8 sec ,17.162,
Volkswagen,Polo,Polo VI,10.8 sec ,17.405,
Volkswagen,Polo,Polo VI,10.8 sec ,17.012,
Volkswagen,Polo,Polo VI,11.9 sec ,17.962,
Volkswagen,Polo,Polo VI,11.9 sec ,17.917,
Volkswagen,Polo,Polo VI,15.4 sec ,17.871,
Volkswagen,Polo,Polo VI,14.9 sec ,18.14,
Volkswagen,Polo,Polo VI,16.1 sec ,19.607,
Volkswagen,Polo,Polo VI,15.5 sec ,19.023,
Volkswagen,Brasilia,Brasilia (5-door),18 sec ,18.184,
Volkswagen,Brasilia,Brasilia (5-door),21 sec ,18.902,
Volkswagen,Golf,Golf VI Plus,9.8 sec ,16.706,
Volkswagen,Golf,Golf VI Plus,9.8 sec ,16.601,
Volkswagen,Golf,Golf VI Plus,12 sec ,18.272,
Volkswagen,Golf,Golf VI Plus,12.1 sec ,18.184,
Volkswagen,Golf,Golf VI Plus,8.5 sec ,16,
Volkswagen,Golf,Golf VI Plus,8.5 sec ,15.943,
Volkswagen,Golf,Golf VI Plus,10.2 sec ,17.26,
Volkswagen,Golf,Golf VI Plus,10.2 sec ,17.162,
Volkswagen,Golf,Golf VI Plus,14.9 sec ,19.378,
Volkswagen,Passat,Passat Alltrack (B8),6.4 sec ,14.571,
Volkswagen,Passat,Passat Alltrack (B8),5.8 sec ,13.927,
Volkswagen,Passat,Passat Alltrack (B8),6.8 sec ,14.707,
Volkswagen,Passat,Passat Alltrack (B8),8 sec ,15.532,
Volkswagen,Passat,Passat Alltrack (B8),9.2 sec ,16.653,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",5.5 sec ,13.049,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",7.4 sec ,15.35,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",7.5 sec ,14.292,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",8.6 sec ,15.162,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",8.3 sec ,16.168,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",8 sec ,16.112,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",8.5 sec ,16.495,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",11.6 sec ,17.826,
Volkswagen,Touareg,"Touareg I (7L, facelift 2006)",11.5 sec ,17.78,
Volkswagen,Lamando,Lamando L II,8.9 sec ,16.168,
Volkswagen,Ameo,Ameo,10 sec ,16.706,
Volkswagen,Ameo,Ameo,9.9 sec ,16.495,
Volkswagen,Ameo,Ameo,14.2 sec ,18.228,
Volkswagen,Ameo,Ameo,18.052,,
Volkswagen,Atlas,Atlas,14.571,,
Volkswagen,Atlas,Atlas,14.773,,
Volkswagen,Atlas,Atlas,15.225,,
Volkswagen,Scirocco,Scirocco III,6 sec ,13.049,
Volkswagen,Scirocco,Scirocco III,6 sec ,13.049,
Volkswagen,Scirocco,Scirocco III,6.9 sec ,14.002,
Volkswagen,Scirocco,Scirocco III,6.9 sec ,13.927,
Volkswagen,Scirocco,Scirocco III,7.1 sec ,14.502,
Volkswagen,Scirocco,Scirocco III,6.7 sec ,14.433,
Volkswagen,Scirocco,Scirocco III,7.9 sec ,14.773,
Volkswagen,Scirocco,Scirocco III,7.9 sec ,14.707,
Volkswagen,Scirocco,Scirocco III,8.1 sec ,15.099,
Volkswagen,Scirocco,Scirocco III,8.1 sec ,15.035,
Volkswagen,Scirocco,Scirocco III,9.3 sec ,16,
Volkswagen,Scirocco,Scirocco III,9.3 sec ,15.943,
Volkswagen,Scirocco,Scirocco III,9.3 sec ,16.333,
Volkswagen,Scirocco,Scirocco III,9.3 sec ,16.279,
Volkswagen,Scirocco,Scirocco III,8 sec ,15.162,
Volkswagen,Scirocco,Scirocco III,8 sec ,15.162,
Volkswagen,Scirocco,Scirocco III,9.7 sec ,16.441,
