Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Volvo,XC40,XC40,4.9 sec ,13.134,
Volvo,XC40,XC40,7.4 sec ,15.472,
Volvo,XC40,XC40,7.3 sec ,14.221,
Volvo,XC40,XC40,8.5 sec ,15.288,
Volvo,XC40,XC40,6.5 sec ,14.363,
Volvo,XC40,XC40,8.5 sec ,15.769,
Volvo,XC40,XC40,8.4 sec ,15.592,
Volvo,XC40,XC40,7.9 sec ,15.828,
Volvo,XC40,XC40,10.4 sec ,17.112,
Volvo,XC40,XC40,10.2 sec ,17.062,
Volvo,XC40,XC40,10.2 sec ,16.911,
Volvo,XC40,XC40,9.9 sec ,16.809,
Volvo,XC40,XC40,6.4 sec ,not known,
Volvo,XC40,XC40,8.5 sec ,not known,
Volvo,XC40,XC40,8.4 sec ,not known,
Volvo,XC40,XC40,9.6 sec ,not known,
Volvo,XC40,XC40,9.3 sec ,not known,
Volvo,XC40,XC40,9.4 sec ,16.387,
Volvo,XC40,XC40,10.9 sec ,not known,
Volvo,XC40,XC40,10.9 sec ,not known,
Volvo,S90,S90 (facelift 2020),4.7 sec ,14.221,
Volvo,S90,S90 (facelift 2020),5.1 sec ,14.292,
Volvo,S90,S90 (facelift 2020),7.0 sec ,not known,
Volvo,S90,S90 (facelift 2020),8.2 sec ,not known,
Volvo,S90,S90 (facelift 2020),9.9 sec ,not known,
Volvo,S90,S90 (facelift 2020),9.9 sec ,not known,
Volvo,S90,S90 (facelift 2020),6.2 sec ,not known,
Volvo,S90,S90 (facelift 2020),6.9 sec ,not known,
Volvo,S90,S90 (facelift 2020),7.9 sec ,not known,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,240,240 Combi (P245),not known,,
Volvo,XC60,XC60 I,9.9 sec ,14.773,
Volvo,XC60,XC60 I,9.1 sec ,14.707,
Volvo,XC60,XC60 I,7.3 sec ,13.776,
Volvo,XC60,XC60 I,7.5 sec ,14.148,
Volvo,XC60,XC60 I,7.5 sec ,14.221,
Volvo,XC60,XC60 I,8.3 sec ,15.411,
Volvo,XC60,XC60 I,8.1 sec ,15.35,
Volvo,XC60,XC60 I,8.9 sec ,15.472,
Volvo,XC60,XC60 I,8.5 sec ,15.411,
Volvo,XC60,XC60 I,10.9 sec ,16.224,
Volvo,XC60,XC60 I,9.5 sec ,16.168,
Volvo,XC60,XC60 I,10.9 sec ,16.911,
Volvo,XC60,XC60 I,10.5 sec ,16.86,
Volvo,XC60,XC60 I,9.8 sec ,16.548,
Volvo,XC60,XC60 I,10.9 sec ,16.911,
Volvo,XC60,XC60 I,10.5 sec ,16.86,
Volvo,XC60,XC60 I,8.1 sec ,14.571,
Volvo,XC60,XC60 I,10.3 sec ,16.601,
Volvo,XC60,XC60 I,10.3 sec ,16.653,
Volvo,260,260 Combi (P265),not known,,
Volvo,260,260 Combi (P265),not known,,
Volvo,260,260 Combi (P265),not known,,
Volvo,260,260 Combi (P265),not known,,
Volvo,V90,V90 Cross Country (facelift 2020),7.5 sec ,not known,
Volvo,V90,V90 Cross Country (facelift 2020),8.8 sec ,not known,
Volvo,V90,V90 Cross Country (facelift 2020),8.8 sec ,not known,
Volvo,V90,V90 Cross Country (facelift 2020),6.4 sec ,not known,
Volvo,V90,V90 Cross Country (facelift 2020),7.4 sec ,not known,
Volvo,960,960 Kombi (965),9.3 sec ,15.035,
Volvo,960,960 Kombi (965),9.9 sec ,16,
Volvo,960,960 Kombi (965),9.9 sec ,16,
Volvo,960,960 Kombi (965),17.688,,
Volvo,960,960 Kombi (965),18.052,,
Volvo,960,960 Kombi (965),not known,,
Volvo,940,940 Combi (945),12.1 sec ,17.26,
Volvo,940,940 Combi (945),9 sec ,15.532,
Volvo,940,940 Combi (945),10.2 sec ,15.828,
Volvo,940,940 Combi (945),11.2 sec ,16.653,
Volvo,940,940 Combi (945),12.5 sec ,17.594,
Volvo,940,940 Combi (945),8.2 sec ,14.84,
Volvo,S60,S60,7.5 sec ,13.301,
Volvo,S60,S60,5.7 sec ,13.301,
Volvo,S60,S60,7.3 sec ,14.773,
Volvo,S60,S60,7.6 sec ,14.502,
Volvo,S60,S60,6.9 sec ,13.621,
Volvo,S60,S60,6.5 sec ,13.621,
Volvo,S60,S60,9.6 sec ,15.652,
Volvo,S60,S60,8.7 sec ,15.652,
Volvo,S60,S60,8 sec ,14.97,
Volvo,S60,S60,7.6 sec ,14.97,
Volvo,S60,S60,8.2 sec ,15.35,
Volvo,S60,S60,9.5 sec ,16.112,
Volvo,S60,S60,11.9 sec ,17.5,
Volvo,S60,S60,11.6 sec ,17.5,
Volvo,S60,S60,11.1 sec ,16.706,
Volvo,S60,S60,10.2 sec ,16.706,
Volvo,S60,S60,8.1 sec ,14.639,
Volvo,S60,S60,7.1 sec ,13.852,
Volvo,S60,S60,6.8 sec ,13.852,
Volvo,S60,S60,9.5 sec ,15.472,
Volvo,S60,S60,8.8 sec ,15.472,
Volvo,S60,S60,8.8 sec ,15.288,
Volvo,1800,1800S,15.943,,
Volvo,1800,1800S,16.495,,
Volvo,1800,1800S,16.548,,
Volvo,260,260 Coupe (P262),not known,,
Volvo,XC70,XC70 II (facelift 2013),6.9 sec ,14.075,
Volvo,XC70,XC70 II (facelift 2013),7.1 sec ,not known,
Volvo,XC70,XC70 II (facelift 2013),8.2 sec ,not known,
Volvo,XC70,XC70 II (facelift 2013),8.3 sec ,15.769,
Volvo,XC70,XC70 II (facelift 2013),8 sec ,15.711,
Volvo,XC70,XC70 II (facelift 2013),9.5 sec ,not known,
Volvo,XC70,XC70 II (facelift 2013),9.2 sec ,not known,
